subject	session	expected_t1w	mriqc_t1w	expected_bold	mriqc_bold	status	session_complete
sub-060	ses-01	3	3	13	13	COMPLETE_BOTH	True
sub-061	ses-01	2	2	13	13	COMPLETE_BOTH	True
sub-062	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-063	ses-01	2	2	3	3	COMPLETE_BOTH	True
sub-064	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-064	ses-02	2	2	12	12	COMPLETE_BOTH	True
sub-065	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-066	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-066	ses-02	3	2	12	12	PARTIAL	False
sub-067	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-067	ses-02	3	3	12	12	COMPLETE_BOTH	True
sub-068	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-068	ses-02	3	3	12	12	COMPLETE_BOTH	True
sub-069	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-069	ses-02	3	3	12	12	COMPLETE_BOTH	True
sub-070	ses-01	2	2	10	10	COMPLETE_BOTH	True
sub-071	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-072	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-072	ses-02	3	3	12	12	COMPLETE_BOTH	True
sub-073	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-073	ses-02	3	3	12	12	COMPLETE_BOTH	True
sub-074	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-074	ses-02	3	3	11	11	COMPLETE_BOTH	True
sub-075	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-076	ses-01	2	2	12	12	COMPLETE_BOTH	True
sub-077	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-078	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-078	ses-02	0	0	6	6	BOLD_ONLY	True
sub-079	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-080	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-081	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-081	ses-02	3	3	12	12	COMPLETE_BOTH	True
sub-082	ses-01	3	3	13	13	COMPLETE_BOTH	True
sub-083	ses-01	3	3	13	13	COMPLETE_BOTH	True
sub-084	ses-01	3	3	12	12	COMPLETE_BOTH	True
