subject	session	expected_t1w	mriqc_t1w	t1w_complete	expected_bold	mriqc_bold	bold_complete	session_complete	status	n_missing_t1w	n_missing_bold
sub-021	ses-02	3	3	True	13	13	True	True	COMPLETE_BOTH	0	0
sub-022	ses-01	2	2	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-022	ses-02	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-023	ses-01	3	3	True	13	13	True	True	COMPLETE_BOTH	0	0
sub-023	ses-02	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-024	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-024	ses-02	3	3	True	14	14	True	True	COMPLETE_BOTH	0	0
sub-025	ses-01	3	3	True	13	13	True	True	COMPLETE_BOTH	0	0
sub-025	ses-02	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-026	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-026	ses-02	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-027	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-027	ses-02	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-028	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-028	ses-02	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-029	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-029	ses-02	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-030	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-030	ses-02	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-031	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-031	ses-02	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-032	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-033	ses-01	2	2	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-034	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-034	ses-02	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-035	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-035	ses-02	3	3	True	13	13	True	True	COMPLETE_BOTH	0	0
sub-036	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-036	ses-02	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-037	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-038	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-038	ses-02	3	3	True	13	13	True	True	COMPLETE_BOTH	0	0
sub-039	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-039	ses-02	3	2	False	12	12	True	False	PARTIAL	1	0
sub-040	ses-01	3	3	True	13	13	True	True	COMPLETE_BOTH	0	0
sub-040	ses-02	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-041	ses-01	3	3	True	13	13	True	True	COMPLETE_BOTH	0	0
sub-041	ses-02	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-042	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-043	ses-02	6	6	True	23	23	True	True	COMPLETE_BOTH	0	0
sub-044	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-044	ses-02	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-045	ses-01	2	2	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-046	ses-01	3	3	True	13	13	True	True	COMPLETE_BOTH	0	0
sub-046	ses-02	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-047	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-047	ses-02	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-048	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-048	ses-02	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-049	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-049	ses-02	0	0	True	8	8	True	True	BOLD_ONLY	0	0
sub-050	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-051	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-052	ses-01	2	2	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-052	ses-02	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-053	ses-01	3	3	True	11	11	True	True	COMPLETE_BOTH	0	0
sub-054	ses-01	2	2	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-054	ses-02	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-055	ses-01	0	0	True	8	8	True	True	BOLD_ONLY	0	0
sub-056	ses-01	2	2	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-057	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-057	ses-02	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-058	ses-01	3	2	False	12	12	True	False	PARTIAL	1	0
sub-059	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-060	ses-01	3	3	True	13	13	True	True	COMPLETE_BOTH	0	0
sub-061	ses-01	2	2	True	13	13	True	True	COMPLETE_BOTH	0	0
sub-062	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-063	ses-01	2	2	True	3	3	True	True	COMPLETE_BOTH	0	0
sub-064	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-064	ses-02	2	2	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-065	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-066	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-066	ses-02	3	2	False	12	12	True	False	PARTIAL	1	0
sub-067	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-067	ses-02	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-068	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-068	ses-02	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-069	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-069	ses-02	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-070	ses-01	2	2	True	10	10	True	True	COMPLETE_BOTH	0	0
sub-071	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-072	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-072	ses-02	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-073	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-073	ses-02	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-074	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-074	ses-02	3	3	True	11	11	True	True	COMPLETE_BOTH	0	0
sub-075	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-076	ses-01	2	2	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-077	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-078	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-078	ses-02	0	0	True	6	6	True	True	BOLD_ONLY	0	0
sub-079	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-080	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-081	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-081	ses-02	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-082	ses-01	3	3	True	13	13	True	True	COMPLETE_BOTH	0	0
sub-083	ses-01	3	3	True	13	13	True	True	COMPLETE_BOTH	0	0
sub-084	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
