file	keyword	line_number	matched_text	category	sha256
session#2151c17bc86a/main.m	results	76	resultdir = 'Results';	SAVE_OPERATION	1aab337d9f67bc7f
session#2151c17bc86a/main.m	save(	80	save([resultdir '/' (t) '_Subject_is_' comment '_selected_run_id_' num2str(run_id)])	SAVE_OPERATION	1aab337d9f67bc7f
session#2ddeaaa69595/Show_movie.m	sync	11	Screen('Preference', 'SkipSyncTests', 1);	SCANNER_TRIGGER	83ade79574081031
session#2ddeaaa69595/Show_movie.m	screen('flip'	75	Screen('Flip', win);	PSYCHTOOLBOX_TIME	83ade79574081031
session#2ddeaaa69595/Show_movie.m	forp	79	psychtoolbox_forp_id=0;	SCANNER_TRIGGER	83ade79574081031
session#2ddeaaa69595/Show_movie.m	playmovie	88	Screen('PlayMovie', movie, 1);	FRAME_TIMING	83ade79574081031
session#2ddeaaa69595/Show_movie.m	trigger	93	% only look for t as trigger	SCANNER_TRIGGER	83ade79574081031
session#2ddeaaa69595/Show_movie.m	forp	94	KbQueueCreate(psychtoolbox_forp_id, keysOfInterest);	SCANNER_TRIGGER	83ade79574081031
session#2ddeaaa69595/Show_movie.m	kbqueue	94	KbQueueCreate(psychtoolbox_forp_id, keysOfInterest);	SCANNER_TRIGGER	83ade79574081031
session#2ddeaaa69595/Show_movie.m	kbqueue	95	KbQueueStart;	SCANNER_TRIGGER	83ade79574081031
session#2ddeaaa69595/Show_movie.m	kbcheck	97	[keyPress, keyTime, keyID] = KbCheck(-1);	SCANNER_TRIGGER	83ade79574081031
session#2ddeaaa69595/Show_movie.m	time	97	[keyPress, keyTime, keyID] = KbCheck(-1);	PSYCHTOOLBOX_TIME	83ade79574081031
session#2ddeaaa69595/Show_movie.m	kbqueue	99	KbQueueWait	SCANNER_TRIGGER	83ade79574081031
session#2ddeaaa69595/Show_movie.m	kbcheck	103	[keyIsDown,secs,keyCode]=KbCheck;	SCANNER_TRIGGER	83ade79574081031
session#2ddeaaa69595/Show_movie.m	playmovie	107	Screen('PlayMovie', movie, 0);	FRAME_TIMING	83ade79574081031
session#2ddeaaa69595/Show_movie.m	frame	116	% Wait for next movie frame, retrieve texture handle to it	FRAME_TIMING	83ade79574081031
session#2ddeaaa69595/Show_movie.m	getmovieimage	118	tex = Screen('GetMovieImage', win, movie);	FRAME_TIMING	83ade79574081031
session#2ddeaaa69595/Show_movie.m	screen('flip'	138	Screen('Flip', win);	PSYCHTOOLBOX_TIME	83ade79574081031
session#2ddeaaa69595/Show_movie.m	playmovie	146	Screen('PlayMovie', movie, 0);	FRAME_TIMING	83ade79574081031
session#2ddeaaa69595/main.m	results	4	%% check FOV script results that you have written down	SAVE_OPERATION	fa01b62dff72ec1d
session#2ddeaaa69595/main.m	results	10	change_eye = 0; % you can change this parameter based on the results of FOV script	SAVE_OPERATION	fa01b62dff72ec1d
session#2ddeaaa69595/main.m	trigger	13	% press t to start --> this comes from the trigger box	SCANNER_TRIGGER	fa01b62dff72ec1d
session#2ddeaaa69595/main.m	results	27	"'\n Have you deleted the content of the Folder called ""Results""? ' ..."	SAVE_OPERATION	fa01b62dff72ec1d
session#2ddeaaa69595/main.m	results	63	resultdir = './Results';	SAVE_OPERATION	fa01b62dff72ec1d
session#2ddeaaa69595/main.m	save(	67	save([resultdir '/' (t) '_Subject_is_' comment '_selected_run_id_' num2str(run_id)])	SAVE_OPERATION	fa01b62dff72ec1d
session#890529843cd2/Show_movie.m	sync	11	Screen('Preference', 'SkipSyncTests', 1);	SCANNER_TRIGGER	83ade79574081031
session#890529843cd2/Show_movie.m	screen('flip'	75	Screen('Flip', win);	PSYCHTOOLBOX_TIME	83ade79574081031
session#890529843cd2/Show_movie.m	forp	79	psychtoolbox_forp_id=0;	SCANNER_TRIGGER	83ade79574081031
session#890529843cd2/Show_movie.m	playmovie	88	Screen('PlayMovie', movie, 1);	FRAME_TIMING	83ade79574081031
session#890529843cd2/Show_movie.m	trigger	93	% only look for t as trigger	SCANNER_TRIGGER	83ade79574081031
session#890529843cd2/Show_movie.m	forp	94	KbQueueCreate(psychtoolbox_forp_id, keysOfInterest);	SCANNER_TRIGGER	83ade79574081031
session#890529843cd2/Show_movie.m	kbqueue	94	KbQueueCreate(psychtoolbox_forp_id, keysOfInterest);	SCANNER_TRIGGER	83ade79574081031
session#890529843cd2/Show_movie.m	kbqueue	95	KbQueueStart;	SCANNER_TRIGGER	83ade79574081031
session#890529843cd2/Show_movie.m	kbcheck	97	[keyPress, keyTime, keyID] = KbCheck(-1);	SCANNER_TRIGGER	83ade79574081031
session#890529843cd2/Show_movie.m	time	97	[keyPress, keyTime, keyID] = KbCheck(-1);	PSYCHTOOLBOX_TIME	83ade79574081031
session#890529843cd2/Show_movie.m	kbqueue	99	KbQueueWait	SCANNER_TRIGGER	83ade79574081031
session#890529843cd2/Show_movie.m	kbcheck	103	[keyIsDown,secs,keyCode]=KbCheck;	SCANNER_TRIGGER	83ade79574081031
session#890529843cd2/Show_movie.m	playmovie	107	Screen('PlayMovie', movie, 0);	FRAME_TIMING	83ade79574081031
session#890529843cd2/Show_movie.m	frame	116	% Wait for next movie frame, retrieve texture handle to it	FRAME_TIMING	83ade79574081031
session#890529843cd2/Show_movie.m	getmovieimage	118	tex = Screen('GetMovieImage', win, movie);	FRAME_TIMING	83ade79574081031
session#890529843cd2/Show_movie.m	screen('flip'	138	Screen('Flip', win);	PSYCHTOOLBOX_TIME	83ade79574081031
session#890529843cd2/Show_movie.m	playmovie	146	Screen('PlayMovie', movie, 0);	FRAME_TIMING	83ade79574081031
session#890529843cd2/main.m	sync	4	Screen('Preference', 'SkipSyncTests', 0);	SCANNER_TRIGGER	1aab337d9f67bc7f
session#890529843cd2/main.m	results	16	%% check FOV script results that you have written down	SAVE_OPERATION	1aab337d9f67bc7f
session#890529843cd2/main.m	results	23	change_eye = 0; % you can change this parameter based on the results of FOV script	SAVE_OPERATION	1aab337d9f67bc7f
session#890529843cd2/main.m	trigger	26	% press t to start --> this comes from the trigger box	SCANNER_TRIGGER	1aab337d9f67bc7f
session#890529843cd2/main.m	results	40	"'\n Have you deleted the content of the Folder called ""Results""? ' ..."	SAVE_OPERATION	1aab337d9f67bc7f
session#890529843cd2/main.m	results	76	resultdir = 'Results';	SAVE_OPERATION	1aab337d9f67bc7f
session#890529843cd2/main.m	save(	80	save([resultdir '/' (t) '_Subject_is_' comment '_selected_run_id_' num2str(run_id)])	SAVE_OPERATION	1aab337d9f67bc7f
session#f7a7f7029717/Show_movie.m	sync	11	Screen('Preference', 'SkipSyncTests', 1);	SCANNER_TRIGGER	83ade79574081031
session#f7a7f7029717/Show_movie.m	screen('flip'	75	Screen('Flip', win);	PSYCHTOOLBOX_TIME	83ade79574081031
session#f7a7f7029717/Show_movie.m	forp	79	psychtoolbox_forp_id=0;	SCANNER_TRIGGER	83ade79574081031
session#f7a7f7029717/Show_movie.m	playmovie	88	Screen('PlayMovie', movie, 1);	FRAME_TIMING	83ade79574081031
session#f7a7f7029717/Show_movie.m	trigger	93	% only look for t as trigger	SCANNER_TRIGGER	83ade79574081031
session#f7a7f7029717/Show_movie.m	forp	94	KbQueueCreate(psychtoolbox_forp_id, keysOfInterest);	SCANNER_TRIGGER	83ade79574081031
session#f7a7f7029717/Show_movie.m	kbqueue	94	KbQueueCreate(psychtoolbox_forp_id, keysOfInterest);	SCANNER_TRIGGER	83ade79574081031
session#f7a7f7029717/Show_movie.m	kbqueue	95	KbQueueStart;	SCANNER_TRIGGER	83ade79574081031
session#f7a7f7029717/Show_movie.m	kbcheck	97	[keyPress, keyTime, keyID] = KbCheck(-1);	SCANNER_TRIGGER	83ade79574081031
session#f7a7f7029717/Show_movie.m	time	97	[keyPress, keyTime, keyID] = KbCheck(-1);	PSYCHTOOLBOX_TIME	83ade79574081031
session#f7a7f7029717/Show_movie.m	kbqueue	99	KbQueueWait	SCANNER_TRIGGER	83ade79574081031
session#f7a7f7029717/Show_movie.m	kbcheck	103	[keyIsDown,secs,keyCode]=KbCheck;	SCANNER_TRIGGER	83ade79574081031
session#f7a7f7029717/Show_movie.m	playmovie	107	Screen('PlayMovie', movie, 0);	FRAME_TIMING	83ade79574081031
session#f7a7f7029717/Show_movie.m	frame	116	% Wait for next movie frame, retrieve texture handle to it	FRAME_TIMING	83ade79574081031
session#f7a7f7029717/Show_movie.m	getmovieimage	118	tex = Screen('GetMovieImage', win, movie);	FRAME_TIMING	83ade79574081031
session#f7a7f7029717/Show_movie.m	screen('flip'	138	Screen('Flip', win);	PSYCHTOOLBOX_TIME	83ade79574081031
session#f7a7f7029717/Show_movie.m	playmovie	146	Screen('PlayMovie', movie, 0);	FRAME_TIMING	83ade79574081031
session#f7a7f7029717/main.m	sync	4	Screen('Preference', 'SkipSyncTests', 0);	SCANNER_TRIGGER	1aab337d9f67bc7f
session#f7a7f7029717/main.m	results	16	%% check FOV script results that you have written down	SAVE_OPERATION	1aab337d9f67bc7f
session#f7a7f7029717/main.m	results	23	change_eye = 0; % you can change this parameter based on the results of FOV script	SAVE_OPERATION	1aab337d9f67bc7f
session#f7a7f7029717/main.m	trigger	26	% press t to start --> this comes from the trigger box	SCANNER_TRIGGER	1aab337d9f67bc7f
session#f7a7f7029717/main.m	results	40	"'\n Have you deleted the content of the Folder called ""Results""? ' ..."	SAVE_OPERATION	1aab337d9f67bc7f
session#f7a7f7029717/main.m	results	76	resultdir = 'Results';	SAVE_OPERATION	1aab337d9f67bc7f
session#f7a7f7029717/main.m	save(	80	save([resultdir '/' (t) '_Subject_is_' comment '_selected_run_id_' num2str(run_id)])	SAVE_OPERATION	1aab337d9f67bc7f
session#631985c900cb/Show_movie.m	sync	11	Screen('Preference', 'SkipSyncTests', 1);	SCANNER_TRIGGER	83ade79574081031
session#631985c900cb/Show_movie.m	screen('flip'	75	Screen('Flip', win);	PSYCHTOOLBOX_TIME	83ade79574081031
session#631985c900cb/Show_movie.m	forp	79	psychtoolbox_forp_id=0;	SCANNER_TRIGGER	83ade79574081031
session#631985c900cb/Show_movie.m	playmovie	88	Screen('PlayMovie', movie, 1);	FRAME_TIMING	83ade79574081031
session#631985c900cb/Show_movie.m	trigger	93	% only look for t as trigger	SCANNER_TRIGGER	83ade79574081031
session#631985c900cb/Show_movie.m	forp	94	KbQueueCreate(psychtoolbox_forp_id, keysOfInterest);	SCANNER_TRIGGER	83ade79574081031
session#631985c900cb/Show_movie.m	kbqueue	94	KbQueueCreate(psychtoolbox_forp_id, keysOfInterest);	SCANNER_TRIGGER	83ade79574081031
session#631985c900cb/Show_movie.m	kbqueue	95	KbQueueStart;	SCANNER_TRIGGER	83ade79574081031
session#631985c900cb/Show_movie.m	kbcheck	97	[keyPress, keyTime, keyID] = KbCheck(-1);	SCANNER_TRIGGER	83ade79574081031
session#631985c900cb/Show_movie.m	time	97	[keyPress, keyTime, keyID] = KbCheck(-1);	PSYCHTOOLBOX_TIME	83ade79574081031
session#631985c900cb/Show_movie.m	kbqueue	99	KbQueueWait	SCANNER_TRIGGER	83ade79574081031
session#631985c900cb/Show_movie.m	kbcheck	103	[keyIsDown,secs,keyCode]=KbCheck;	SCANNER_TRIGGER	83ade79574081031
session#631985c900cb/Show_movie.m	playmovie	107	Screen('PlayMovie', movie, 0);	FRAME_TIMING	83ade79574081031
session#631985c900cb/Show_movie.m	frame	116	% Wait for next movie frame, retrieve texture handle to it	FRAME_TIMING	83ade79574081031
session#631985c900cb/Show_movie.m	getmovieimage	118	tex = Screen('GetMovieImage', win, movie);	FRAME_TIMING	83ade79574081031
session#631985c900cb/Show_movie.m	screen('flip'	138	Screen('Flip', win);	PSYCHTOOLBOX_TIME	83ade79574081031
session#631985c900cb/Show_movie.m	playmovie	146	Screen('PlayMovie', movie, 0);	FRAME_TIMING	83ade79574081031
session#631985c900cb/main.m	sync	4	Screen('Preference', 'SkipSyncTests', 0);	SCANNER_TRIGGER	1aab337d9f67bc7f
session#631985c900cb/main.m	results	16	%% check FOV script results that you have written down	SAVE_OPERATION	1aab337d9f67bc7f
session#631985c900cb/main.m	results	23	change_eye = 0; % you can change this parameter based on the results of FOV script	SAVE_OPERATION	1aab337d9f67bc7f
session#631985c900cb/main.m	trigger	26	% press t to start --> this comes from the trigger box	SCANNER_TRIGGER	1aab337d9f67bc7f
session#631985c900cb/main.m	results	40	"'\n Have you deleted the content of the Folder called ""Results""? ' ..."	SAVE_OPERATION	1aab337d9f67bc7f
session#631985c900cb/main.m	results	76	resultdir = 'Results';	SAVE_OPERATION	1aab337d9f67bc7f
session#631985c900cb/main.m	save(	80	save([resultdir '/' (t) '_Subject_is_' comment '_selected_run_id_' num2str(run_id)])	SAVE_OPERATION	1aab337d9f67bc7f
session#da09912e1cc2/Show_movie.m	sync	8	Screen('Preference', 'SkipSyncTests', 1);	SCANNER_TRIGGER	88923aeac42f475d
session#da09912e1cc2/Show_movie.m	screen('flip'	68	Screen('Flip', win);	PSYCHTOOLBOX_TIME	88923aeac42f475d
session#da09912e1cc2/Show_movie.m	forp	72	psychtoolbox_forp_id=0;	SCANNER_TRIGGER	88923aeac42f475d
session#da09912e1cc2/Show_movie.m	playmovie	81	Screen('PlayMovie', movie, 1);	FRAME_TIMING	88923aeac42f475d
session#da09912e1cc2/Show_movie.m	trigger	86	% only look for t as trigger	SCANNER_TRIGGER	88923aeac42f475d
session#da09912e1cc2/Show_movie.m	forp	87	KbQueueCreate(psychtoolbox_forp_id, keysOfInterest);	SCANNER_TRIGGER	88923aeac42f475d
session#da09912e1cc2/Show_movie.m	kbqueue	87	KbQueueCreate(psychtoolbox_forp_id, keysOfInterest);	SCANNER_TRIGGER	88923aeac42f475d
session#da09912e1cc2/Show_movie.m	kbqueue	88	KbQueueStart;	SCANNER_TRIGGER	88923aeac42f475d
session#da09912e1cc2/Show_movie.m	kbcheck	90	[keyPress, keyTime, keyID] = KbCheck(-1);	SCANNER_TRIGGER	88923aeac42f475d
session#da09912e1cc2/Show_movie.m	time	90	[keyPress, keyTime, keyID] = KbCheck(-1);	PSYCHTOOLBOX_TIME	88923aeac42f475d
session#da09912e1cc2/Show_movie.m	kbqueue	92	KbQueueWait	SCANNER_TRIGGER	88923aeac42f475d
session#da09912e1cc2/Show_movie.m	kbcheck	96	[keyIsDown,secs,keyCode]=KbCheck;	SCANNER_TRIGGER	88923aeac42f475d
session#da09912e1cc2/Show_movie.m	playmovie	100	Screen('PlayMovie', movie, 0);	FRAME_TIMING	88923aeac42f475d
session#da09912e1cc2/Show_movie.m	frame	109	% Wait for next movie frame, retrieve texture handle to it	FRAME_TIMING	88923aeac42f475d
session#da09912e1cc2/Show_movie.m	getmovieimage	111	tex = Screen('GetMovieImage', win, movie);	FRAME_TIMING	88923aeac42f475d
session#da09912e1cc2/Show_movie.m	screen('flip'	127	Screen('Flip', win);	PSYCHTOOLBOX_TIME	88923aeac42f475d
session#da09912e1cc2/Show_movie.m	playmovie	135	Screen('PlayMovie', movie, 0);	FRAME_TIMING	88923aeac42f475d
session#da09912e1cc2/main.m	results	4	%% check FOV script results that you have written down	SAVE_OPERATION	fa01b62dff72ec1d
session#da09912e1cc2/main.m	results	10	change_eye = 0; % you can change this parameter based on the results of FOV script	SAVE_OPERATION	fa01b62dff72ec1d
session#da09912e1cc2/main.m	trigger	13	% press t to start --> this comes from the trigger box	SCANNER_TRIGGER	fa01b62dff72ec1d
session#da09912e1cc2/main.m	results	27	"'\n Have you deleted the content of the Folder called ""Results""? ' ..."	SAVE_OPERATION	fa01b62dff72ec1d
session#da09912e1cc2/main.m	results	63	resultdir = './Results';	SAVE_OPERATION	fa01b62dff72ec1d
session#da09912e1cc2/main.m	save(	67	save([resultdir '/' (t) '_Subject_is_' comment '_selected_run_id_' num2str(run_id)])	SAVE_OPERATION	fa01b62dff72ec1d
session#c6737a320ef2/Show_movie.m	sync	11	Screen('Preference', 'SkipSyncTests', 1);	SCANNER_TRIGGER	83ade79574081031
session#c6737a320ef2/Show_movie.m	screen('flip'	75	Screen('Flip', win);	PSYCHTOOLBOX_TIME	83ade79574081031
session#c6737a320ef2/Show_movie.m	forp	79	psychtoolbox_forp_id=0;	SCANNER_TRIGGER	83ade79574081031
session#c6737a320ef2/Show_movie.m	playmovie	88	Screen('PlayMovie', movie, 1);	FRAME_TIMING	83ade79574081031
session#c6737a320ef2/Show_movie.m	trigger	93	% only look for t as trigger	SCANNER_TRIGGER	83ade79574081031
session#c6737a320ef2/Show_movie.m	forp	94	KbQueueCreate(psychtoolbox_forp_id, keysOfInterest);	SCANNER_TRIGGER	83ade79574081031
session#c6737a320ef2/Show_movie.m	kbqueue	94	KbQueueCreate(psychtoolbox_forp_id, keysOfInterest);	SCANNER_TRIGGER	83ade79574081031
session#c6737a320ef2/Show_movie.m	kbqueue	95	KbQueueStart;	SCANNER_TRIGGER	83ade79574081031
session#c6737a320ef2/Show_movie.m	kbcheck	97	[keyPress, keyTime, keyID] = KbCheck(-1);	SCANNER_TRIGGER	83ade79574081031
session#c6737a320ef2/Show_movie.m	time	97	[keyPress, keyTime, keyID] = KbCheck(-1);	PSYCHTOOLBOX_TIME	83ade79574081031
session#c6737a320ef2/Show_movie.m	kbqueue	99	KbQueueWait	SCANNER_TRIGGER	83ade79574081031
session#c6737a320ef2/Show_movie.m	kbcheck	103	[keyIsDown,secs,keyCode]=KbCheck;	SCANNER_TRIGGER	83ade79574081031
session#c6737a320ef2/Show_movie.m	playmovie	107	Screen('PlayMovie', movie, 0);	FRAME_TIMING	83ade79574081031
session#c6737a320ef2/Show_movie.m	frame	116	% Wait for next movie frame, retrieve texture handle to it	FRAME_TIMING	83ade79574081031
session#c6737a320ef2/Show_movie.m	getmovieimage	118	tex = Screen('GetMovieImage', win, movie);	FRAME_TIMING	83ade79574081031
session#c6737a320ef2/Show_movie.m	screen('flip'	138	Screen('Flip', win);	PSYCHTOOLBOX_TIME	83ade79574081031
session#c6737a320ef2/Show_movie.m	playmovie	146	Screen('PlayMovie', movie, 0);	FRAME_TIMING	83ade79574081031
session#c6737a320ef2/main.m	results	4	%% check FOV script results that you have written down	SAVE_OPERATION	fa01b62dff72ec1d
session#c6737a320ef2/main.m	results	10	change_eye = 0; % you can change this parameter based on the results of FOV script	SAVE_OPERATION	fa01b62dff72ec1d
session#c6737a320ef2/main.m	trigger	13	% press t to start --> this comes from the trigger box	SCANNER_TRIGGER	fa01b62dff72ec1d
session#c6737a320ef2/main.m	results	27	"'\n Have you deleted the content of the Folder called ""Results""? ' ..."	SAVE_OPERATION	fa01b62dff72ec1d
