file	variable	exists	type	sample_value	timing_relevance
session#88b9bb5688f1/Results/May-05-2023_ 3-18-37_PM_Subject_is_XXX_selected_run_id_3.mat	triggerTimes	NO			ABSENT
session#88b9bb5688f1/Results/May-05-2023_ 3-18-37_PM_Subject_is_XXX_selected_run_id_3.mat	vbl	NO			ABSENT
session#88b9bb5688f1/Results/May-05-2023_ 3-18-37_PM_Subject_is_XXX_selected_run_id_3.mat	frameTimes	NO			ABSENT
session#88b9bb5688f1/Results/May-05-2023_ 3-18-37_PM_Subject_is_XXX_selected_run_id_3.mat	onset	NO			ABSENT
session#88b9bb5688f1/Results/May-05-2023_ 3-18-37_PM_Subject_is_XXX_selected_run_id_3.mat	timestamps	NO			ABSENT
session#88b9bb5688f1/Results/May-05-2023_ 3-22-30_PM_Subject_is_XXX_selected_run_id_4.mat	answer	YES	ndarray	['Yes']	IDENTITY_ONLY
session#88b9bb5688f1/Results/May-05-2023_ 3-22-30_PM_Subject_is_XXX_selected_run_id_4.mat	change_eye	YES	ndarray	[[0]]	IDENTITY_ONLY
session#88b9bb5688f1/Results/May-05-2023_ 3-22-30_PM_Subject_is_XXX_selected_run_id_4.mat	comment	YES	ndarray	['050']	IDENTITY_ONLY
session#88b9bb5688f1/Results/May-05-2023_ 3-22-30_PM_Subject_is_XXX_selected_run_id_4.mat	resultdir	YES	ndarray	['./Results']	IDENTITY_ONLY
session#88b9bb5688f1/Results/May-05-2023_ 3-22-30_PM_Subject_is_XXX_selected_run_id_4.mat	run_id	YES	ndarray	[[4]]	IDENTITY_ONLY
session#88b9bb5688f1/Results/May-05-2023_ 3-22-30_PM_Subject_is_XXX_selected_run_id_4.mat	t	YES	ndarray	['May-05-2023_ 3-22-30_PM']	IDENTITY_ONLY
session#88b9bb5688f1/Results/May-05-2023_ 3-22-30_PM_Subject_is_XXX_selected_run_id_4.mat	x	YES	ndarray	[[array(['050'], dtype='<U3')]]	IDENTITY_ONLY
session#88b9bb5688f1/Results/May-05-2023_ 3-22-30_PM_Subject_is_XXX_selected_run_id_4.mat	y	YES	ndarray	[[array(['4'], dtype='<U1')]]	IDENTITY_ONLY
session#88b9bb5688f1/Results/May-05-2023_ 3-22-30_PM_Subject_is_XXX_selected_run_id_4.mat	triggerTimes	NO			ABSENT
session#88b9bb5688f1/Results/May-05-2023_ 3-22-30_PM_Subject_is_XXX_selected_run_id_4.mat	vbl	NO			ABSENT
session#88b9bb5688f1/Results/May-05-2023_ 3-22-30_PM_Subject_is_XXX_selected_run_id_4.mat	frameTimes	NO			ABSENT
session#88b9bb5688f1/Results/May-05-2023_ 3-22-30_PM_Subject_is_XXX_selected_run_id_4.mat	onset	NO			ABSENT
session#88b9bb5688f1/Results/May-05-2023_ 3-22-30_PM_Subject_is_XXX_selected_run_id_4.mat	timestamps	NO			ABSENT
session#2151c17bc86a/Results/November-08-2023_ 9-50-07_AM_Subject_is_XXX_selected_run_id_1.mat	ans	YES	ndarray	[[0]]	IDENTITY_ONLY
session#2151c17bc86a/Results/November-08-2023_ 9-50-07_AM_Subject_is_XXX_selected_run_id_1.mat	answer	YES	ndarray	['Yes']	IDENTITY_ONLY
session#2151c17bc86a/Results/November-08-2023_ 9-50-07_AM_Subject_is_XXX_selected_run_id_1.mat	change_eye	YES	ndarray	[[0]]	IDENTITY_ONLY
session#2151c17bc86a/Results/November-08-2023_ 9-50-07_AM_Subject_is_XXX_selected_run_id_1.mat	comment	YES	ndarray	['<REDACTED_ID>-<REDACTED_SESSION>']	IDENTITY_ONLY
session#2151c17bc86a/Results/November-08-2023_ 9-50-07_AM_Subject_is_XXX_selected_run_id_1.mat	outputFile	YES	ndarray	['<REDACTED_WINPATH> Shmuel Lab\\Desktop\\Mendola-Shmuel-Matlab-Code\\3-Movie_Data\\output.txt']	IDENTITY_ONLY
session#2151c17bc86a/Results/November-08-2023_ 9-50-07_AM_Subject_is_XXX_selected_run_id_1.mat	outputFileID	YES	ndarray	[[3]]	IDENTITY_ONLY
session#2151c17bc86a/Results/November-08-2023_ 9-50-07_AM_Subject_is_XXX_selected_run_id_1.mat	resultdir	YES	ndarray	['Results']	IDENTITY_ONLY
session#2151c17bc86a/Results/November-08-2023_ 9-50-07_AM_Subject_is_XXX_selected_run_id_1.mat	run_id	YES	ndarray	[[1]]	IDENTITY_ONLY
session#2151c17bc86a/Results/November-08-2023_ 9-50-07_AM_Subject_is_XXX_selected_run_id_1.mat	t	YES	ndarray	['November-08-2023_ 9-50-07_AM']	IDENTITY_ONLY
session#2151c17bc86a/Results/November-08-2023_ 9-50-07_AM_Subject_is_XXX_selected_run_id_1.mat	x	YES	ndarray	[[array(['<REDACTED_ID>-<REDACTED_SESSION>'], dtype='<U16')]]	IDENTITY_ONLY
session#2151c17bc86a/Results/November-08-2023_ 9-50-07_AM_Subject_is_XXX_selected_run_id_1.mat	y	YES	ndarray	[[array(['1'], dtype='<U1')]]	IDENTITY_ONLY
session#2151c17bc86a/Results/November-08-2023_ 9-50-07_AM_Subject_is_XXX_selected_run_id_1.mat	triggerTimes	NO			ABSENT
session#2151c17bc86a/Results/November-08-2023_ 9-50-07_AM_Subject_is_XXX_selected_run_id_1.mat	vbl	NO			ABSENT
session#2151c17bc86a/Results/November-08-2023_ 9-50-07_AM_Subject_is_XXX_selected_run_id_1.mat	frameTimes	NO			ABSENT
session#2151c17bc86a/Results/November-08-2023_ 9-50-07_AM_Subject_is_XXX_selected_run_id_1.mat	onset	NO			ABSENT
session#2151c17bc86a/Results/November-08-2023_ 9-50-07_AM_Subject_is_XXX_selected_run_id_1.mat	timestamps	NO			ABSENT
session#2151c17bc86a/Results/November-08-2023_ 9-54-23_AM_Subject_is_XXX_selected_run_id_2.mat	ans	YES	ndarray	[[0]]	IDENTITY_ONLY
session#2151c17bc86a/Results/November-08-2023_ 9-54-23_AM_Subject_is_XXX_selected_run_id_2.mat	answer	YES	ndarray	['Yes']	IDENTITY_ONLY
session#2151c17bc86a/Results/November-08-2023_ 9-54-23_AM_Subject_is_XXX_selected_run_id_2.mat	change_eye	YES	ndarray	[[0]]	IDENTITY_ONLY
session#2151c17bc86a/Results/November-08-2023_ 9-54-23_AM_Subject_is_XXX_selected_run_id_2.mat	comment	YES	ndarray	['<REDACTED_ID>-<REDACTED_SESSION>']	IDENTITY_ONLY
session#2151c17bc86a/Results/November-08-2023_ 9-54-23_AM_Subject_is_XXX_selected_run_id_2.mat	outputFile	YES	ndarray	['<REDACTED_WINPATH> Shmuel Lab\\Desktop\\Mendola-Shmuel-Matlab-Code\\3-Movie_Data\\output.txt']	IDENTITY_ONLY
session#2151c17bc86a/Results/November-08-2023_ 9-54-23_AM_Subject_is_XXX_selected_run_id_2.mat	outputFileID	YES	ndarray	[[4]]	IDENTITY_ONLY
session#2151c17bc86a/Results/November-08-2023_ 9-54-23_AM_Subject_is_XXX_selected_run_id_2.mat	resultdir	YES	ndarray	['Results']	IDENTITY_ONLY
session#2151c17bc86a/Results/November-08-2023_ 9-54-23_AM_Subject_is_XXX_selected_run_id_2.mat	run_id	YES	ndarray	[[2]]	IDENTITY_ONLY
session#2151c17bc86a/Results/November-08-2023_ 9-54-23_AM_Subject_is_XXX_selected_run_id_2.mat	t	YES	ndarray	['November-08-2023_ 9-54-23_AM']	IDENTITY_ONLY
session#2151c17bc86a/Results/November-08-2023_ 9-54-23_AM_Subject_is_XXX_selected_run_id_2.mat	x	YES	ndarray	[[array(['<REDACTED_ID>-<REDACTED_SESSION>'], dtype='<U15')]]	IDENTITY_ONLY
session#2151c17bc86a/Results/November-08-2023_ 9-54-23_AM_Subject_is_XXX_selected_run_id_2.mat	y	YES	ndarray	[[array(['2'], dtype='<U1')]]	IDENTITY_ONLY
session#2151c17bc86a/Results/November-08-2023_ 9-54-23_AM_Subject_is_XXX_selected_run_id_2.mat	triggerTimes	NO			ABSENT
session#2151c17bc86a/Results/November-08-2023_ 9-54-23_AM_Subject_is_XXX_selected_run_id_2.mat	vbl	NO			ABSENT
session#2151c17bc86a/Results/November-08-2023_ 9-54-23_AM_Subject_is_XXX_selected_run_id_2.mat	frameTimes	NO			ABSENT
session#2151c17bc86a/Results/November-08-2023_ 9-54-23_AM_Subject_is_XXX_selected_run_id_2.mat	onset	NO			ABSENT
session#2151c17bc86a/Results/November-08-2023_ 9-54-23_AM_Subject_is_XXX_selected_run_id_2.mat	timestamps	NO			ABSENT
session#2151c17bc86a/Results/November-08-2023_ 9-58-36_AM_Subject_is_XXX_selected_run_id_3.mat	ans	YES	ndarray	[[0]]	IDENTITY_ONLY
session#2151c17bc86a/Results/November-08-2023_ 9-58-36_AM_Subject_is_XXX_selected_run_id_3.mat	answer	YES	ndarray	['Yes']	IDENTITY_ONLY
session#2151c17bc86a/Results/November-08-2023_ 9-58-36_AM_Subject_is_XXX_selected_run_id_3.mat	change_eye	YES	ndarray	[[0]]	IDENTITY_ONLY
session#2151c17bc86a/Results/November-08-2023_ 9-58-36_AM_Subject_is_XXX_selected_run_id_3.mat	comment	YES	ndarray	['<REDACTED_ID>-<REDACTED_SESSION>']	IDENTITY_ONLY
session#2151c17bc86a/Results/November-08-2023_ 9-58-36_AM_Subject_is_XXX_selected_run_id_3.mat	outputFile	YES	ndarray	['<REDACTED_WINPATH> Shmuel Lab\\Desktop\\Mendola-Shmuel-Matlab-Code\\3-Movie_Data\\output.txt']	IDENTITY_ONLY
session#2151c17bc86a/Results/November-08-2023_ 9-58-36_AM_Subject_is_XXX_selected_run_id_3.mat	outputFileID	YES	ndarray	[[5]]	IDENTITY_ONLY
session#2151c17bc86a/Results/November-08-2023_ 9-58-36_AM_Subject_is_XXX_selected_run_id_3.mat	resultdir	YES	ndarray	['Results']	IDENTITY_ONLY
session#2151c17bc86a/Results/November-08-2023_ 9-58-36_AM_Subject_is_XXX_selected_run_id_3.mat	run_id	YES	ndarray	[[3]]	IDENTITY_ONLY
session#2151c17bc86a/Results/November-08-2023_ 9-58-36_AM_Subject_is_XXX_selected_run_id_3.mat	t	YES	ndarray	['November-08-2023_ 9-58-36_AM']	IDENTITY_ONLY
session#2151c17bc86a/Results/November-08-2023_ 9-58-36_AM_Subject_is_XXX_selected_run_id_3.mat	x	YES	ndarray	[[array(['<REDACTED_ID>-<REDACTED_SESSION>'], dtype='<U15')]]	IDENTITY_ONLY
session#2151c17bc86a/Results/November-08-2023_ 9-58-36_AM_Subject_is_XXX_selected_run_id_3.mat	y	YES	ndarray	[[array(['3'], dtype='<U1')]]	IDENTITY_ONLY
session#2151c17bc86a/Results/November-08-2023_ 9-58-36_AM_Subject_is_XXX_selected_run_id_3.mat	triggerTimes	NO			ABSENT
session#2151c17bc86a/Results/November-08-2023_ 9-58-36_AM_Subject_is_XXX_selected_run_id_3.mat	vbl	NO			ABSENT
session#2151c17bc86a/Results/November-08-2023_ 9-58-36_AM_Subject_is_XXX_selected_run_id_3.mat	frameTimes	NO			ABSENT
session#2151c17bc86a/Results/November-08-2023_ 9-58-36_AM_Subject_is_XXX_selected_run_id_3.mat	onset	NO			ABSENT
session#2151c17bc86a/Results/November-08-2023_ 9-58-36_AM_Subject_is_XXX_selected_run_id_3.mat	timestamps	NO			ABSENT
session#2151c17bc86a/Results/November-08-2023_10-03-59_AM_Subject_is_XXX_selected_run_id_4.mat	ans	YES	ndarray	[[0]]	IDENTITY_ONLY
session#2151c17bc86a/Results/November-08-2023_10-03-59_AM_Subject_is_XXX_selected_run_id_4.mat	answer	YES	ndarray	['Yes']	IDENTITY_ONLY
session#2151c17bc86a/Results/November-08-2023_10-03-59_AM_Subject_is_XXX_selected_run_id_4.mat	change_eye	YES	ndarray	[[0]]	IDENTITY_ONLY
session#2151c17bc86a/Results/November-08-2023_10-03-59_AM_Subject_is_XXX_selected_run_id_4.mat	comment	YES	ndarray	['<REDACTED_ID>-<REDACTED_SESSION>']	IDENTITY_ONLY
session#2151c17bc86a/Results/November-08-2023_10-03-59_AM_Subject_is_XXX_selected_run_id_4.mat	outputFile	YES	ndarray	['<REDACTED_WINPATH> Shmuel Lab\\Desktop\\Mendola-Shmuel-Matlab-Code\\3-Movie_Data\\output.txt']	IDENTITY_ONLY
session#2151c17bc86a/Results/November-08-2023_10-03-59_AM_Subject_is_XXX_selected_run_id_4.mat	outputFileID	YES	ndarray	[[6]]	IDENTITY_ONLY
session#2151c17bc86a/Results/November-08-2023_10-03-59_AM_Subject_is_XXX_selected_run_id_4.mat	resultdir	YES	ndarray	['Results']	IDENTITY_ONLY
session#2151c17bc86a/Results/November-08-2023_10-03-59_AM_Subject_is_XXX_selected_run_id_4.mat	run_id	YES	ndarray	[[4]]	IDENTITY_ONLY
session#2151c17bc86a/Results/November-08-2023_10-03-59_AM_Subject_is_XXX_selected_run_id_4.mat	t	YES	ndarray	['November-08-2023_10-03-59_AM']	IDENTITY_ONLY
session#2151c17bc86a/Results/November-08-2023_10-03-59_AM_Subject_is_XXX_selected_run_id_4.mat	x	YES	ndarray	[[array(['<REDACTED_ID>-<REDACTED_SESSION>'], dtype='<U15')]]	IDENTITY_ONLY
session#2151c17bc86a/Results/November-08-2023_10-03-59_AM_Subject_is_XXX_selected_run_id_4.mat	y	YES	ndarray	[[array(['4'], dtype='<U1')]]	IDENTITY_ONLY
session#2151c17bc86a/Results/November-08-2023_10-03-59_AM_Subject_is_XXX_selected_run_id_4.mat	triggerTimes	NO			ABSENT
session#2151c17bc86a/Results/November-08-2023_10-03-59_AM_Subject_is_XXX_selected_run_id_4.mat	vbl	NO			ABSENT
session#2151c17bc86a/Results/November-08-2023_10-03-59_AM_Subject_is_XXX_selected_run_id_4.mat	frameTimes	NO			ABSENT
session#2151c17bc86a/Results/November-08-2023_10-03-59_AM_Subject_is_XXX_selected_run_id_4.mat	onset	NO			ABSENT
session#2151c17bc86a/Results/November-08-2023_10-03-59_AM_Subject_is_XXX_selected_run_id_4.mat	timestamps	NO			ABSENT
session#2ddeaaa69595/Results/May-11-2023_ 3-24-31_PM_Subject_is_XXX_selected_run_id_1.mat	answer	YES	ndarray	['Yes']	IDENTITY_ONLY
session#2ddeaaa69595/Results/May-11-2023_ 3-24-31_PM_Subject_is_XXX_selected_run_id_1.mat	change_eye	YES	ndarray	[[0]]	IDENTITY_ONLY
session#2ddeaaa69595/Results/May-11-2023_ 3-24-31_PM_Subject_is_XXX_selected_run_id_1.mat	comment	YES	ndarray	['C02']	IDENTITY_ONLY
session#2ddeaaa69595/Results/May-11-2023_ 3-24-31_PM_Subject_is_XXX_selected_run_id_1.mat	resultdir	YES	ndarray	['./Results']	IDENTITY_ONLY
session#2ddeaaa69595/Results/May-11-2023_ 3-24-31_PM_Subject_is_XXX_selected_run_id_1.mat	run_id	YES	ndarray	[[1]]	IDENTITY_ONLY
session#2ddeaaa69595/Results/May-11-2023_ 3-24-31_PM_Subject_is_XXX_selected_run_id_1.mat	t	YES	ndarray	['May-11-2023_ 3-24-31_PM']	IDENTITY_ONLY
session#2ddeaaa69595/Results/May-11-2023_ 3-24-31_PM_Subject_is_XXX_selected_run_id_1.mat	x	YES	ndarray	[[array(['C02'], dtype='<U3')]]	IDENTITY_ONLY
session#2ddeaaa69595/Results/May-11-2023_ 3-24-31_PM_Subject_is_XXX_selected_run_id_1.mat	y	YES	ndarray	[[array(['1'], dtype='<U1')]]	IDENTITY_ONLY
session#2ddeaaa69595/Results/May-11-2023_ 3-24-31_PM_Subject_is_XXX_selected_run_id_1.mat	triggerTimes	NO			ABSENT
session#2ddeaaa69595/Results/May-11-2023_ 3-24-31_PM_Subject_is_XXX_selected_run_id_1.mat	vbl	NO			ABSENT
session#2ddeaaa69595/Results/May-11-2023_ 3-24-31_PM_Subject_is_XXX_selected_run_id_1.mat	frameTimes	NO			ABSENT
session#2ddeaaa69595/Results/May-11-2023_ 3-24-31_PM_Subject_is_XXX_selected_run_id_1.mat	onset	NO			ABSENT
session#2ddeaaa69595/Results/May-11-2023_ 3-24-31_PM_Subject_is_XXX_selected_run_id_1.mat	timestamps	NO			ABSENT
session#2ddeaaa69595/Results/May-11-2023_ 3-29-20_PM_Subject_is_XXX_selected_run_id_2.mat	answer	YES	ndarray	['Yes']	IDENTITY_ONLY
session#2ddeaaa69595/Results/May-11-2023_ 3-29-20_PM_Subject_is_XXX_selected_run_id_2.mat	change_eye	YES	ndarray	[[0]]	IDENTITY_ONLY
session#2ddeaaa69595/Results/May-11-2023_ 3-29-20_PM_Subject_is_XXX_selected_run_id_2.mat	comment	YES	ndarray	['C02']	IDENTITY_ONLY
session#2ddeaaa69595/Results/May-11-2023_ 3-29-20_PM_Subject_is_XXX_selected_run_id_2.mat	resultdir	YES	ndarray	['./Results']	IDENTITY_ONLY
session#2ddeaaa69595/Results/May-11-2023_ 3-29-20_PM_Subject_is_XXX_selected_run_id_2.mat	run_id	YES	ndarray	[[2]]	IDENTITY_ONLY
session#2ddeaaa69595/Results/May-11-2023_ 3-29-20_PM_Subject_is_XXX_selected_run_id_2.mat	t	YES	ndarray	['May-11-2023_ 3-29-20_PM']	IDENTITY_ONLY
session#2ddeaaa69595/Results/May-11-2023_ 3-29-20_PM_Subject_is_XXX_selected_run_id_2.mat	x	YES	ndarray	[[array(['C02'], dtype='<U3')]]	IDENTITY_ONLY
session#2ddeaaa69595/Results/May-11-2023_ 3-29-20_PM_Subject_is_XXX_selected_run_id_2.mat	y	YES	ndarray	[[array(['2'], dtype='<U1')]]	IDENTITY_ONLY
session#2ddeaaa69595/Results/May-11-2023_ 3-29-20_PM_Subject_is_XXX_selected_run_id_2.mat	triggerTimes	NO			ABSENT
session#2ddeaaa69595/Results/May-11-2023_ 3-29-20_PM_Subject_is_XXX_selected_run_id_2.mat	vbl	NO			ABSENT
session#2ddeaaa69595/Results/May-11-2023_ 3-29-20_PM_Subject_is_XXX_selected_run_id_2.mat	frameTimes	NO			ABSENT
session#2ddeaaa69595/Results/May-11-2023_ 3-29-20_PM_Subject_is_XXX_selected_run_id_2.mat	onset	NO			ABSENT
session#2ddeaaa69595/Results/May-11-2023_ 3-29-20_PM_Subject_is_XXX_selected_run_id_2.mat	timestamps	NO			ABSENT
session#2ddeaaa69595/Results/May-11-2023_ 3-33-31_PM_Subject_is_XXX_selected_run_id_3.mat	answer	YES	ndarray	['Yes']	IDENTITY_ONLY
session#2ddeaaa69595/Results/May-11-2023_ 3-33-31_PM_Subject_is_XXX_selected_run_id_3.mat	change_eye	YES	ndarray	[[0]]	IDENTITY_ONLY
session#2ddeaaa69595/Results/May-11-2023_ 3-33-31_PM_Subject_is_XXX_selected_run_id_3.mat	comment	YES	ndarray	['C02']	IDENTITY_ONLY
session#2ddeaaa69595/Results/May-11-2023_ 3-33-31_PM_Subject_is_XXX_selected_run_id_3.mat	resultdir	YES	ndarray	['./Results']	IDENTITY_ONLY
session#2ddeaaa69595/Results/May-11-2023_ 3-33-31_PM_Subject_is_XXX_selected_run_id_3.mat	run_id	YES	ndarray	[[3]]	IDENTITY_ONLY
session#2ddeaaa69595/Results/May-11-2023_ 3-33-31_PM_Subject_is_XXX_selected_run_id_3.mat	t	YES	ndarray	['May-11-2023_ 3-33-31_PM']	IDENTITY_ONLY
session#2ddeaaa69595/Results/May-11-2023_ 3-33-31_PM_Subject_is_XXX_selected_run_id_3.mat	x	YES	ndarray	[[array(['C02'], dtype='<U3')]]	IDENTITY_ONLY
session#2ddeaaa69595/Results/May-11-2023_ 3-33-31_PM_Subject_is_XXX_selected_run_id_3.mat	y	YES	ndarray	[[array(['3'], dtype='<U1')]]	IDENTITY_ONLY
session#2ddeaaa69595/Results/May-11-2023_ 3-33-31_PM_Subject_is_XXX_selected_run_id_3.mat	triggerTimes	NO			ABSENT
session#2ddeaaa69595/Results/May-11-2023_ 3-33-31_PM_Subject_is_XXX_selected_run_id_3.mat	vbl	NO			ABSENT
session#2ddeaaa69595/Results/May-11-2023_ 3-33-31_PM_Subject_is_XXX_selected_run_id_3.mat	frameTimes	NO			ABSENT
session#2ddeaaa69595/Results/May-11-2023_ 3-33-31_PM_Subject_is_XXX_selected_run_id_3.mat	onset	NO			ABSENT
session#2ddeaaa69595/Results/May-11-2023_ 3-33-31_PM_Subject_is_XXX_selected_run_id_3.mat	timestamps	NO			ABSENT
session#2ddeaaa69595/Results/May-11-2023_ 3-38-49_PM_Subject_is_XXX_selected_run_id_3.mat	answer	YES	ndarray	['Yes']	IDENTITY_ONLY
session#2ddeaaa69595/Results/May-11-2023_ 3-38-49_PM_Subject_is_XXX_selected_run_id_3.mat	change_eye	YES	ndarray	[[0]]	IDENTITY_ONLY
session#2ddeaaa69595/Results/May-11-2023_ 3-38-49_PM_Subject_is_XXX_selected_run_id_3.mat	comment	YES	ndarray	['C02']	IDENTITY_ONLY
session#2ddeaaa69595/Results/May-11-2023_ 3-38-49_PM_Subject_is_XXX_selected_run_id_3.mat	resultdir	YES	ndarray	['./Results']	IDENTITY_ONLY
session#2ddeaaa69595/Results/May-11-2023_ 3-38-49_PM_Subject_is_XXX_selected_run_id_3.mat	run_id	YES	ndarray	[[3]]	IDENTITY_ONLY
session#2ddeaaa69595/Results/May-11-2023_ 3-38-49_PM_Subject_is_XXX_selected_run_id_3.mat	t	YES	ndarray	['May-11-2023_ 3-38-49_PM']	IDENTITY_ONLY
session#2ddeaaa69595/Results/May-11-2023_ 3-38-49_PM_Subject_is_XXX_selected_run_id_3.mat	x	YES	ndarray	[[array(['C02'], dtype='<U3')]]	IDENTITY_ONLY
session#2ddeaaa69595/Results/May-11-2023_ 3-38-49_PM_Subject_is_XXX_selected_run_id_3.mat	y	YES	ndarray	[[array(['3'], dtype='<U1')]]	IDENTITY_ONLY
session#2ddeaaa69595/Results/May-11-2023_ 3-38-49_PM_Subject_is_XXX_selected_run_id_3.mat	triggerTimes	NO			ABSENT
session#2ddeaaa69595/Results/May-11-2023_ 3-38-49_PM_Subject_is_XXX_selected_run_id_3.mat	vbl	NO			ABSENT
session#2ddeaaa69595/Results/May-11-2023_ 3-38-49_PM_Subject_is_XXX_selected_run_id_3.mat	frameTimes	NO			ABSENT
