scan_id	subject	session	run	nifti	n_volumes	n_bvals	n_bvec_columns	status
sub-009_ses-01_run-01_dwi	sub-009	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-009/ses-01/dwi/sub-009_ses-01_run-01_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-009_ses-01_run-02_dwi	sub-009	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-009/ses-01/dwi/sub-009_ses-01_run-02_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-009_ses-01_run-05_dwi	sub-009	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-009/ses-01/dwi/sub-009_ses-01_run-05_dwi.nii.gz	15.0	15.0	15.0	PASS
sub-009_ses-02_run-01_dwi	sub-009	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-009/ses-02/dwi/sub-009_ses-02_run-01_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-009_ses-02_run-02_dwi	sub-009	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-009/ses-02/dwi/sub-009_ses-02_run-02_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-009_ses-02_run-05_dwi	sub-009	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-009/ses-02/dwi/sub-009_ses-02_run-05_dwi.nii.gz	15.0	15.0	15.0	PASS
sub-010_ses-01_run-01_dwi	sub-010	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-010/ses-01/dwi/sub-010_ses-01_run-01_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-010_ses-01_run-02_dwi	sub-010	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-010/ses-01/dwi/sub-010_ses-01_run-02_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-010_ses-01_run-05_dwi	sub-010	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-010/ses-01/dwi/sub-010_ses-01_run-05_dwi.nii.gz	15.0	15.0	15.0	PASS
sub-011_ses-01_run-01_dwi	sub-011	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-011/ses-01/dwi/sub-011_ses-01_run-01_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-011_ses-01_run-02_dwi	sub-011	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-011/ses-01/dwi/sub-011_ses-01_run-02_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-011_ses-01_run-07_dwi	sub-011	ses-01	run-07	/lustre07/scratch/alexrees/bids/sub-011/ses-01/dwi/sub-011_ses-01_run-07_dwi.nii.gz	15.0	15.0	15.0	PASS
sub-011_ses-02_run-01_dwi	sub-011	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-011/ses-02/dwi/sub-011_ses-02_run-01_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-011_ses-02_run-02_dwi	sub-011	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-011/ses-02/dwi/sub-011_ses-02_run-02_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-011_ses-02_run-05_dwi	sub-011	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-011/ses-02/dwi/sub-011_ses-02_run-05_dwi.nii.gz	15.0	15.0	15.0	PASS
sub-012_ses-01_run-01_dwi	sub-012	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-012/ses-01/dwi/sub-012_ses-01_run-01_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-012_ses-01_run-02_dwi	sub-012	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-012/ses-01/dwi/sub-012_ses-01_run-02_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-012_ses-01_run-05_dwi	sub-012	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-012/ses-01/dwi/sub-012_ses-01_run-05_dwi.nii.gz	15.0	15.0	15.0	PASS
sub-012_ses-02_run-01_dwi	sub-012	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-012/ses-02/dwi/sub-012_ses-02_run-01_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-012_ses-02_run-02_dwi	sub-012	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-012/ses-02/dwi/sub-012_ses-02_run-02_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-012_ses-02_run-05_dwi	sub-012	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-012/ses-02/dwi/sub-012_ses-02_run-05_dwi.nii.gz	15.0	15.0	15.0	PASS
sub-013_ses-01_run-01_dwi	sub-013	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-013/ses-01/dwi/sub-013_ses-01_run-01_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-013_ses-01_run-02_dwi	sub-013	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-013/ses-01/dwi/sub-013_ses-01_run-02_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-013_ses-01_run-05_dwi	sub-013	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-013/ses-01/dwi/sub-013_ses-01_run-05_dwi.nii.gz	15.0	15.0	15.0	PASS
sub-014_ses-01_run-01_dwi	sub-014	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-014/ses-01/dwi/sub-014_ses-01_run-01_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-014_ses-01_run-02_dwi	sub-014	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-014/ses-01/dwi/sub-014_ses-01_run-02_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-014_ses-01_run-05_dwi	sub-014	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-014/ses-01/dwi/sub-014_ses-01_run-05_dwi.nii.gz	15.0	15.0	15.0	PASS
sub-015_ses-01_run-01_dwi	sub-015	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-015/ses-01/dwi/sub-015_ses-01_run-01_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-015_ses-01_run-02_dwi	sub-015	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-015/ses-01/dwi/sub-015_ses-01_run-02_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-015_ses-01_run-05_dwi	sub-015	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-015/ses-01/dwi/sub-015_ses-01_run-05_dwi.nii.gz	15.0	15.0	15.0	PASS
sub-015_ses-02_run-01_dwi	sub-015	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-015/ses-02/dwi/sub-015_ses-02_run-01_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-015_ses-02_run-02_dwi	sub-015	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-015/ses-02/dwi/sub-015_ses-02_run-02_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-015_ses-02_run-05_dwi	sub-015	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-015/ses-02/dwi/sub-015_ses-02_run-05_dwi.nii.gz	15.0	15.0	15.0	PASS
sub-016_ses-01_run-01_dwi	sub-016	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-016/ses-01/dwi/sub-016_ses-01_run-01_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-016_ses-01_run-02_dwi	sub-016	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-016/ses-01/dwi/sub-016_ses-01_run-02_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-016_ses-01_run-05_dwi	sub-016	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-016/ses-01/dwi/sub-016_ses-01_run-05_dwi.nii.gz	15.0	15.0	15.0	PASS
sub-016_ses-02_run-01_dwi	sub-016	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-016/ses-02/dwi/sub-016_ses-02_run-01_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-016_ses-02_run-02_dwi	sub-016	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-016/ses-02/dwi/sub-016_ses-02_run-02_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-016_ses-02_run-05_dwi	sub-016	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-016/ses-02/dwi/sub-016_ses-02_run-05_dwi.nii.gz	15.0	15.0	15.0	PASS
sub-017_ses-01_run-01_dwi	sub-017	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-017/ses-01/dwi/sub-017_ses-01_run-01_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-017_ses-01_run-02_dwi	sub-017	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-017/ses-01/dwi/sub-017_ses-01_run-02_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-017_ses-01_run-05_dwi	sub-017	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-017/ses-01/dwi/sub-017_ses-01_run-05_dwi.nii.gz	15.0	15.0	15.0	PASS
sub-017_ses-02_run-01_dwi	sub-017	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-017/ses-02/dwi/sub-017_ses-02_run-01_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-017_ses-02_run-02_dwi	sub-017	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-017/ses-02/dwi/sub-017_ses-02_run-02_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-017_ses-02_run-05_dwi	sub-017	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-017/ses-02/dwi/sub-017_ses-02_run-05_dwi.nii.gz	15.0	15.0	15.0	PASS
sub-018_ses-01_run-01_dwi	sub-018	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-018/ses-01/dwi/sub-018_ses-01_run-01_dwi.nii.gz	259.0	259.0	259.0	PASS
sub-018_ses-01_run-02_dwi	sub-018	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-018/ses-01/dwi/sub-018_ses-01_run-02_dwi.nii.gz	259.0	259.0	259.0	PASS
sub-018_ses-01_run-03_dwi	sub-018	ses-01	run-03	/lustre07/scratch/alexrees/bids/sub-018/ses-01/dwi/sub-018_ses-01_run-03_dwi.nii.gz	15.0	15.0	15.0	PASS
sub-018_ses-01_run-12_dwi	sub-018	ses-01	run-12	/lustre07/scratch/alexrees/bids/sub-018/ses-01/dwi/sub-018_ses-01_run-12_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-018_ses-01_run-13_dwi	sub-018	ses-01	run-13	/lustre07/scratch/alexrees/bids/sub-018/ses-01/dwi/sub-018_ses-01_run-13_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-019_ses-01_run-01_dwi	sub-019	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-019/ses-01/dwi/sub-019_ses-01_run-01_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-019_ses-01_run-02_dwi	sub-019	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-019/ses-01/dwi/sub-019_ses-01_run-02_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-019_ses-01_run-05_dwi	sub-019	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-019/ses-01/dwi/sub-019_ses-01_run-05_dwi.nii.gz	15.0	15.0	15.0	PASS
sub-019_ses-02_run-01_dwi	sub-019	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-019/ses-02/dwi/sub-019_ses-02_run-01_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-019_ses-02_run-02_dwi	sub-019	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-019/ses-02/dwi/sub-019_ses-02_run-02_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-019_ses-02_run-05_dwi	sub-019	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-019/ses-02/dwi/sub-019_ses-02_run-05_dwi.nii.gz	15.0	15.0	15.0	PASS
sub-020_ses-01_run-01_dwi	sub-020	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-020/ses-01/dwi/sub-020_ses-01_run-01_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-020_ses-01_run-02_dwi	sub-020	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-020/ses-01/dwi/sub-020_ses-01_run-02_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-020_ses-01_run-05_dwi	sub-020	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-020/ses-01/dwi/sub-020_ses-01_run-05_dwi.nii.gz	15.0	15.0	15.0	PASS
sub-021_ses-01_run-01_dwi	sub-021	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-021/ses-01/dwi/sub-021_ses-01_run-01_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-021_ses-01_run-02_dwi	sub-021	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-021/ses-01/dwi/sub-021_ses-01_run-02_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-021_ses-01_run-05_dwi	sub-021	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-021/ses-01/dwi/sub-021_ses-01_run-05_dwi.nii.gz	15.0	15.0	15.0	PASS
sub-021_ses-02_run-01_dwi	sub-021	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-021/ses-02/dwi/sub-021_ses-02_run-01_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-021_ses-02_run-02_dwi	sub-021	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-021/ses-02/dwi/sub-021_ses-02_run-02_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-021_ses-02_run-05_dwi	sub-021	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-021/ses-02/dwi/sub-021_ses-02_run-05_dwi.nii.gz	15.0	15.0	15.0	PASS
sub-022_ses-01_run-01_dwi	sub-022	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-022/ses-01/dwi/sub-022_ses-01_run-01_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-022_ses-01_run-02_dwi	sub-022	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-022/ses-01/dwi/sub-022_ses-01_run-02_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-022_ses-01_run-05_dwi	sub-022	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-022/ses-01/dwi/sub-022_ses-01_run-05_dwi.nii.gz	15.0	15.0	15.0	PASS
sub-022_ses-02_run-01_dwi	sub-022	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-022/ses-02/dwi/sub-022_ses-02_run-01_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-022_ses-02_run-02_dwi	sub-022	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-022/ses-02/dwi/sub-022_ses-02_run-02_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-022_ses-02_run-05_dwi	sub-022	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-022/ses-02/dwi/sub-022_ses-02_run-05_dwi.nii.gz	15.0	15.0	15.0	PASS
sub-023_ses-01_run-01_dwi	sub-023	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-023/ses-01/dwi/sub-023_ses-01_run-01_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-023_ses-01_run-02_dwi	sub-023	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-023/ses-01/dwi/sub-023_ses-01_run-02_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-023_ses-01_run-05_dwi	sub-023	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-023/ses-01/dwi/sub-023_ses-01_run-05_dwi.nii.gz	15.0	15.0	15.0	PASS
sub-023_ses-02_run-01_dwi	sub-023	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-023/ses-02/dwi/sub-023_ses-02_run-01_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-023_ses-02_run-02_dwi	sub-023	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-023/ses-02/dwi/sub-023_ses-02_run-02_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-023_ses-02_run-05_dwi	sub-023	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-023/ses-02/dwi/sub-023_ses-02_run-05_dwi.nii.gz	15.0	15.0	15.0	PASS
sub-024_ses-02_run-01_dwi	sub-024	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-024/ses-02/dwi/sub-024_ses-02_run-01_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-024_ses-02_run-02_dwi	sub-024	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-024/ses-02/dwi/sub-024_ses-02_run-02_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-024_ses-02_run-05_dwi	sub-024	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-024/ses-02/dwi/sub-024_ses-02_run-05_dwi.nii.gz	15.0	15.0	15.0	PASS
sub-025_ses-01_run-01_dwi	sub-025	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-025/ses-01/dwi/sub-025_ses-01_run-01_dwi.nii.gz	164.0	164.0	164.0	PASS
sub-025_ses-01_run-02_dwi	sub-025	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-025/ses-01/dwi/sub-025_ses-01_run-02_dwi.nii.gz	164.0	164.0	164.0	PASS
sub-025_ses-01_run-03_dwi	sub-025	ses-01	run-03	/lustre07/scratch/alexrees/bids/sub-025/ses-01/dwi/sub-025_ses-01_run-03_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-025_ses-01_run-04_dwi	sub-025	ses-01	run-04	/lustre07/scratch/alexrees/bids/sub-025/ses-01/dwi/sub-025_ses-01_run-04_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-025_ses-01_run-07_dwi	sub-025	ses-01	run-07	/lustre07/scratch/alexrees/bids/sub-025/ses-01/dwi/sub-025_ses-01_run-07_dwi.nii.gz	15.0	15.0	15.0	PASS
sub-025_ses-02_run-01_dwi	sub-025	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-025/ses-02/dwi/sub-025_ses-02_run-01_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-025_ses-02_run-02_dwi	sub-025	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-025/ses-02/dwi/sub-025_ses-02_run-02_dwi.nii.gz	385.0	385.0	385.0	PASS
