scan_id	subject	session	run	nifti_present	bval_present	bvec_present	json_present	n_volumes	n_bvals	n_bvecs	volumes_match	bvals_match	bvecs_match	duplicate_nifti	inventory_status	consistency_status	integrity_status
sub-004_ses-01_run-05_dwi	sub-004	ses-01	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-004_ses-02_run-01_dwi	sub-004	ses-02	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-004_ses-02_run-02_dwi	sub-004	ses-02	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-004_ses-02_run-05_dwi	sub-004	ses-02	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-005_ses-01_run-01_dwi	sub-005	ses-01	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-005_ses-01_run-02_dwi	sub-005	ses-01	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-005_ses-01_run-05_dwi	sub-005	ses-01	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-005_ses-02_run-01_dwi	sub-005	ses-02	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-005_ses-02_run-02_dwi	sub-005	ses-02	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-005_ses-02_run-05_dwi	sub-005	ses-02	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-006_ses-01_run-01_dwi	sub-006	ses-01	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-006_ses-01_run-02_dwi	sub-006	ses-01	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-006_ses-01_run-05_dwi	sub-006	ses-01	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-006_ses-02_run-01_dwi	sub-006	ses-02	run-01	True	True	True	True	290	290	290	True	True	True	False	OK	PASS	PASS
sub-006_ses-02_run-02_dwi	sub-006	ses-02	run-02	True	True	True	True	290	290	290	True	True	True	False	OK	PASS	PASS
sub-006_ses-02_run-05_dwi	sub-006	ses-02	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-007_ses-01_run-01_dwi	sub-007	ses-01	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-007_ses-01_run-02_dwi	sub-007	ses-01	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-007_ses-01_run-05_dwi	sub-007	ses-01	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-007_ses-02_run-01_dwi	sub-007	ses-02	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-007_ses-02_run-02_dwi	sub-007	ses-02	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-007_ses-02_run-05_dwi	sub-007	ses-02	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-008_ses-01_run-01_dwi	sub-008	ses-01	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-008_ses-01_run-02_dwi	sub-008	ses-01	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-008_ses-01_run-05_dwi	sub-008	ses-01	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-008_ses-02_run-03_dwi	sub-008	ses-02	run-03	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-009_ses-01_run-01_dwi	sub-009	ses-01	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-009_ses-01_run-02_dwi	sub-009	ses-01	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-009_ses-01_run-05_dwi	sub-009	ses-01	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-009_ses-02_run-01_dwi	sub-009	ses-02	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-009_ses-02_run-02_dwi	sub-009	ses-02	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-009_ses-02_run-05_dwi	sub-009	ses-02	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-010_ses-01_run-01_dwi	sub-010	ses-01	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-010_ses-01_run-02_dwi	sub-010	ses-01	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-010_ses-01_run-05_dwi	sub-010	ses-01	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-011_ses-01_run-01_dwi	sub-011	ses-01	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-011_ses-01_run-02_dwi	sub-011	ses-01	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-011_ses-01_run-07_dwi	sub-011	ses-01	run-07	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-011_ses-02_run-01_dwi	sub-011	ses-02	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-011_ses-02_run-02_dwi	sub-011	ses-02	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-011_ses-02_run-05_dwi	sub-011	ses-02	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-012_ses-01_run-01_dwi	sub-012	ses-01	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-012_ses-01_run-02_dwi	sub-012	ses-01	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-012_ses-01_run-05_dwi	sub-012	ses-01	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-012_ses-02_run-01_dwi	sub-012	ses-02	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-012_ses-02_run-02_dwi	sub-012	ses-02	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-012_ses-02_run-05_dwi	sub-012	ses-02	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-013_ses-01_run-01_dwi	sub-013	ses-01	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-013_ses-01_run-02_dwi	sub-013	ses-01	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-013_ses-01_run-05_dwi	sub-013	ses-01	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-014_ses-01_run-01_dwi	sub-014	ses-01	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-014_ses-01_run-02_dwi	sub-014	ses-01	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-014_ses-01_run-05_dwi	sub-014	ses-01	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-015_ses-01_run-01_dwi	sub-015	ses-01	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-015_ses-01_run-02_dwi	sub-015	ses-01	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-015_ses-01_run-05_dwi	sub-015	ses-01	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-015_ses-02_run-01_dwi	sub-015	ses-02	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-015_ses-02_run-02_dwi	sub-015	ses-02	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-015_ses-02_run-05_dwi	sub-015	ses-02	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-016_ses-01_run-01_dwi	sub-016	ses-01	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-016_ses-01_run-02_dwi	sub-016	ses-01	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-016_ses-01_run-05_dwi	sub-016	ses-01	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-016_ses-02_run-01_dwi	sub-016	ses-02	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-016_ses-02_run-02_dwi	sub-016	ses-02	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-016_ses-02_run-05_dwi	sub-016	ses-02	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-017_ses-01_run-01_dwi	sub-017	ses-01	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-017_ses-01_run-02_dwi	sub-017	ses-01	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-017_ses-01_run-05_dwi	sub-017	ses-01	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-017_ses-02_run-01_dwi	sub-017	ses-02	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-017_ses-02_run-02_dwi	sub-017	ses-02	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-017_ses-02_run-05_dwi	sub-017	ses-02	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-018_ses-01_run-01_dwi	sub-018	ses-01	run-01	True	True	True	True	259	259	259	True	True	True	False	OK	PASS	PASS
sub-018_ses-01_run-02_dwi	sub-018	ses-01	run-02	True	True	True	True	259	259	259	True	True	True	False	OK	PASS	PASS
sub-018_ses-01_run-03_dwi	sub-018	ses-01	run-03	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-018_ses-01_run-12_dwi	sub-018	ses-01	run-12	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-018_ses-01_run-13_dwi	sub-018	ses-01	run-13	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-019_ses-01_run-01_dwi	sub-019	ses-01	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-019_ses-01_run-02_dwi	sub-019	ses-01	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-019_ses-01_run-05_dwi	sub-019	ses-01	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-019_ses-02_run-01_dwi	sub-019	ses-02	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-019_ses-02_run-02_dwi	sub-019	ses-02	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-019_ses-02_run-05_dwi	sub-019	ses-02	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-020_ses-01_run-01_dwi	sub-020	ses-01	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-020_ses-01_run-02_dwi	sub-020	ses-01	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-020_ses-01_run-05_dwi	sub-020	ses-01	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-021_ses-01_run-01_dwi	sub-021	ses-01	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-021_ses-01_run-02_dwi	sub-021	ses-01	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-021_ses-01_run-05_dwi	sub-021	ses-01	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-021_ses-02_run-01_dwi	sub-021	ses-02	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-021_ses-02_run-02_dwi	sub-021	ses-02	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-021_ses-02_run-05_dwi	sub-021	ses-02	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-022_ses-01_run-01_dwi	sub-022	ses-01	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-022_ses-01_run-02_dwi	sub-022	ses-01	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-022_ses-01_run-05_dwi	sub-022	ses-01	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-022_ses-02_run-01_dwi	sub-022	ses-02	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-022_ses-02_run-02_dwi	sub-022	ses-02	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-022_ses-02_run-05_dwi	sub-022	ses-02	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-023_ses-01_run-01_dwi	sub-023	ses-01	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-023_ses-01_run-02_dwi	sub-023	ses-01	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-023_ses-01_run-05_dwi	sub-023	ses-01	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-023_ses-02_run-01_dwi	sub-023	ses-02	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-023_ses-02_run-02_dwi	sub-023	ses-02	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-023_ses-02_run-05_dwi	sub-023	ses-02	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-024_ses-02_run-01_dwi	sub-024	ses-02	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-024_ses-02_run-02_dwi	sub-024	ses-02	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-024_ses-02_run-05_dwi	sub-024	ses-02	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-025_ses-01_run-01_dwi	sub-025	ses-01	run-01	True	True	True	True	164	164	164	True	True	True	False	OK	PASS	PASS
sub-025_ses-01_run-02_dwi	sub-025	ses-01	run-02	True	True	True	True	164	164	164	True	True	True	False	OK	PASS	PASS
sub-025_ses-01_run-03_dwi	sub-025	ses-01	run-03	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-025_ses-01_run-04_dwi	sub-025	ses-01	run-04	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-025_ses-01_run-07_dwi	sub-025	ses-01	run-07	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-025_ses-02_run-01_dwi	sub-025	ses-02	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-025_ses-02_run-02_dwi	sub-025	ses-02	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-025_ses-02_run-05_dwi	sub-025	ses-02	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-026_ses-01_run-01_dwi	sub-026	ses-01	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-026_ses-01_run-02_dwi	sub-026	ses-01	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-026_ses-01_run-05_dwi	sub-026	ses-01	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-026_ses-02_run-01_dwi	sub-026	ses-02	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-026_ses-02_run-02_dwi	sub-026	ses-02	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-026_ses-02_run-05_dwi	sub-026	ses-02	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-027_ses-01_run-01_dwi	sub-027	ses-01	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-027_ses-01_run-02_dwi	sub-027	ses-01	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-027_ses-01_run-05_dwi	sub-027	ses-01	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-027_ses-02_run-01_dwi	sub-027	ses-02	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-027_ses-02_run-02_dwi	sub-027	ses-02	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-027_ses-02_run-05_dwi	sub-027	ses-02	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-028_ses-01_run-01_dwi	sub-028	ses-01	run-01	True	True	True	True	307	307	307	True	True	True	False	OK	PASS	PASS
sub-028_ses-01_run-02_dwi	sub-028	ses-01	run-02	True	True	True	True	307	307	307	True	True	True	False	OK	PASS	PASS
sub-028_ses-01_run-05_dwi	sub-028	ses-01	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-028_ses-02_run-01_dwi	sub-028	ses-02	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-028_ses-02_run-02_dwi	sub-028	ses-02	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-028_ses-02_run-05_dwi	sub-028	ses-02	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-029_ses-01_run-01_dwi	sub-029	ses-01	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-029_ses-01_run-02_dwi	sub-029	ses-01	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-029_ses-01_run-05_dwi	sub-029	ses-01	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-029_ses-02_run-01_dwi	sub-029	ses-02	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-029_ses-02_run-02_dwi	sub-029	ses-02	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-029_ses-02_run-05_dwi	sub-029	ses-02	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-030_ses-01_run-01_dwi	sub-030	ses-01	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-030_ses-01_run-02_dwi	sub-030	ses-01	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-030_ses-01_run-05_dwi	sub-030	ses-01	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-030_ses-02_run-01_dwi	sub-030	ses-02	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-030_ses-02_run-02_dwi	sub-030	ses-02	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-030_ses-02_run-05_dwi	sub-030	ses-02	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-031_ses-01_run-01_dwi	sub-031	ses-01	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-031_ses-01_run-02_dwi	sub-031	ses-01	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-031_ses-01_run-05_dwi	sub-031	ses-01	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-031_ses-02_run-01_dwi	sub-031	ses-02	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-031_ses-02_run-02_dwi	sub-031	ses-02	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-031_ses-02_run-05_dwi	sub-031	ses-02	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-032_ses-01_run-01_dwi	sub-032	ses-01	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-032_ses-01_run-02_dwi	sub-032	ses-01	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-032_ses-01_run-05_dwi	sub-032	ses-01	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-033_ses-01_run-01_dwi	sub-033	ses-01	run-01	True	True	True	True	27	27	27	True	True	True	False	OK	PASS	PASS
sub-033_ses-01_run-02_dwi	sub-033	ses-01	run-02	True	True	True	True	27	27	27	True	True	True	False	OK	PASS	PASS
sub-034_ses-01_run-01_dwi	sub-034	ses-01	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-034_ses-01_run-02_dwi	sub-034	ses-01	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-034_ses-01_run-05_dwi	sub-034	ses-01	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-034_ses-02_run-01_dwi	sub-034	ses-02	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-034_ses-02_run-02_dwi	sub-034	ses-02	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-034_ses-02_run-05_dwi	sub-034	ses-02	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-035_ses-01_run-01_dwi	sub-035	ses-01	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-035_ses-01_run-02_dwi	sub-035	ses-01	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-035_ses-01_run-05_dwi	sub-035	ses-01	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-035_ses-02_run-01_dwi	sub-035	ses-02	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-035_ses-02_run-02_dwi	sub-035	ses-02	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-035_ses-02_run-05_dwi	sub-035	ses-02	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-036_ses-01_run-01_dwi	sub-036	ses-01	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-036_ses-01_run-02_dwi	sub-036	ses-01	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-036_ses-01_run-05_dwi	sub-036	ses-01	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-036_ses-02_run-01_dwi	sub-036	ses-02	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-036_ses-02_run-02_dwi	sub-036	ses-02	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-036_ses-02_run-05_dwi	sub-036	ses-02	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-037_ses-01_run-01_dwi	sub-037	ses-01	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-037_ses-01_run-02_dwi	sub-037	ses-01	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-037_ses-01_run-05_dwi	sub-037	ses-01	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-038_ses-01_run-01_dwi	sub-038	ses-01	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-038_ses-01_run-02_dwi	sub-038	ses-01	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-038_ses-01_run-05_dwi	sub-038	ses-01	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-038_ses-02_run-01_dwi	sub-038	ses-02	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-038_ses-02_run-02_dwi	sub-038	ses-02	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-038_ses-02_run-05_dwi	sub-038	ses-02	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-039_ses-01_run-01_dwi	sub-039	ses-01	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-039_ses-01_run-02_dwi	sub-039	ses-01	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-039_ses-01_run-05_dwi	sub-039	ses-01	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-039_ses-02_run-01_dwi	sub-039	ses-02	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-039_ses-02_run-02_dwi	sub-039	ses-02	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-039_ses-02_run-05_dwi	sub-039	ses-02	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-040_ses-01_run-01_dwi	sub-040	ses-01	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-040_ses-01_run-02_dwi	sub-040	ses-01	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-040_ses-01_run-05_dwi	sub-040	ses-01	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-040_ses-02_run-01_dwi	sub-040	ses-02	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
