variable	hypothesis_level	role	source_file	source_section	unit	definition	derivation	freesurfer_version	notes
Euler_asymmetry	M1	secondary_reconstruction_quality	stats/aseg.stats	derived from Euler_L and Euler_R	unitless	Absolute left–right Euler difference.	|Euler_L - Euler_R|.	7.4.1	Secondary only. Not auto-selected as the M1 primary term.
eTIV	M2	primary_global_brain_size	stats/aseg.stats	# Measure EstimatedTotalIntraCranialVol, eTIV	mm^3	Estimated total intracranial volume.	FreeSurfer atlas scaling (eTIV), not BrainSegVol.	7.4.1	Primary M2 global-size covariate when a single size term is appropriate. Do not enter eTIV together with BrainSegVol/CortexVol/CerebralWhiteMatterVol by default.
BrainSegVol	M2	global_brain_size	stats/aseg.stats	# Measure BrainSeg, BrainSegVol	mm^3	Brain segmentation volume (includes ventricles).	Copied from aseg Measure BrainSegVol.	7.4.1	Available; not the default M2 term. Highly related to eTIV.
CortexVol	M2	global_brain_size	stats/aseg.stats	# Measure Cortex, CortexVol	mm^3	Total cortical gray-matter volume (both hemispheres).	Copied from aseg Measure CortexVol.	7.4.1	Same FreeSurfer quantity as total_cortical_volume. Listed under M2 as a global size candidate and under M3 as cortical morphometry. Do not enter both columns in one model.
CerebralWhiteMatterVol	M2	global_brain_size	stats/aseg.stats	# Measure CerebralWhiteMatter, CerebralWhiteMatterVol	mm^3	Total cerebral white-matter volume.	Copied from aseg Measure CerebralWhiteMatterVol.	7.4.1	Available; not the default M2 term.
mean_cortical_thickness	M3	primary_cortical_morphology	stats/lh.aparc.stats; stats/rh.aparc.stats	# Measure Cortex, MeanThickness	mm	Whole-cortex mean thickness, unweighted mean of the two hemispheres.	(lh MeanThickness + rh MeanThickness) / 2.	7.4.1	Primary M3 covariate. Do not automatically co-enter with total_cortical_volume or total_cortical_surface_area.
total_cortical_volume	M3	cortical_morphology	stats/aseg.stats	# Measure Cortex, CortexVol	mm^3	Total cortical gray-matter volume.	Identical source value to CortexVol.	7.4.1	Kept as a separate M3 column by design. Not a second independent volume measure.
total_cortical_surface_area	M3	cortical_morphology	stats/lh.aparc.stats; stats/rh.aparc.stats	# Measure Cortex, WhiteSurfArea	mm^2	Total white-surface area (both hemispheres).	lh WhiteSurfArea + rh WhiteSurfArea.	7.4.1	White/gray boundary area, not pial. Not a default co-entered M3 term.
pericalcarine_thickness	M4	visual_cortex_thickness	stats/lh.aparc.stats; stats/rh.aparc.stats	Desikan-Killiany row pericalcarine, column ThickAvg (area-weighted across hemispheres)	mm	Bilateral pericalcarine mean cortical thickness.	(lh.ThickAvg*lh.SurfArea + rh.ThickAvg*rh.SurfArea) / (lh.SurfArea + rh.SurfArea).	7.4.1	Secondary visual analysis only. No mass-univariate DK sweep.
cuneus_thickness	M4	visual_cortex_thickness	stats/lh.aparc.stats; stats/rh.aparc.stats	Desikan-Killiany row cuneus, ThickAvg	mm	Bilateral cuneus mean cortical thickness.	Area-weighted mean of lh/rh ThickAvg.	7.4.1	Secondary.
lingual_thickness	M4	visual_cortex_thickness	stats/lh.aparc.stats; stats/rh.aparc.stats	Desikan-Killiany row lingual, ThickAvg	mm	Bilateral lingual mean cortical thickness.	Area-weighted mean of lh/rh ThickAvg.	7.4.1	Secondary.
lateraloccipital_thickness	M4	visual_cortex_thickness	stats/lh.aparc.stats; stats/rh.aparc.stats	Desikan-Killiany row lateraloccipital, ThickAvg	mm	Bilateral lateral occipital mean cortical thickness.	Area-weighted mean of lh/rh ThickAvg.	7.4.1	Secondary. This region is larger than the other three; the composite below uses equal region weights, not vertex weights.
visual_cortex_mean_thickness	M4	primary_visual_composite	stats/lh.aparc.stats; stats/rh.aparc.stats	pre-specified mean of four DK visual regions	mm	Equal-weight mean of pericalcarine, cuneus, lingual, and lateraloccipital bilateral thicknesses.	Mean of the four regional thickness columns. Missing if any of the four is missing.	7.4.1	Primary M4 term. Secondary/pathology-relevant analysis. Do not interpret an IQM association as a visual-system disease effect.
