subject	session	task	run	part	bold	events_expected	events_exists
sub-035	ses-02	movie	05	mag	/home/alexrees/scratch/bids/sub-035/ses-02/func/sub-035_ses-02_task-movie_run-05_bold.nii.gz	sub-035_ses-02_task-movie_run-05_events.tsv	False
sub-035	ses-02	control	05	mag	/home/alexrees/scratch/bids/sub-035/ses-02/func/sub-035_ses-02_task-control_run-05_bold.nii.gz	sub-035_ses-02_task-control_run-05_events.tsv	False
sub-035	ses-02	control	01	mag	/home/alexrees/scratch/bids/sub-035/ses-02/func/sub-035_ses-02_task-control_run-01_bold.nii.gz	sub-035_ses-02_task-control_run-01_events.tsv	False
sub-035	ses-02	rest	01	mag	/home/alexrees/scratch/bids/sub-035/ses-02/func/sub-035_ses-02_task-rest_run-01_bold.nii.gz	sub-035_ses-02_task-rest_run-01_events.tsv	False
sub-035	ses-02	rest	03	mag	/home/alexrees/scratch/bids/sub-035/ses-02/func/sub-035_ses-02_task-rest_run-03_bold.nii.gz	sub-035_ses-02_task-rest_run-03_events.tsv	False
sub-035	ses-02	control	03	mag	/home/alexrees/scratch/bids/sub-035/ses-02/func/sub-035_ses-02_task-control_run-03_bold.nii.gz	sub-035_ses-02_task-control_run-03_events.tsv	False
sub-035	ses-01	rest	01	mag	/home/alexrees/scratch/bids/sub-035/ses-01/func/sub-035_ses-01_task-rest_run-01_bold.nii.gz	sub-035_ses-01_task-rest_run-01_events.tsv	False
sub-035	ses-01	control	05	mag	/home/alexrees/scratch/bids/sub-035/ses-01/func/sub-035_ses-01_task-control_run-05_bold.nii.gz	sub-035_ses-01_task-control_run-05_events.tsv	False
sub-035	ses-01	movie	01	mag	/home/alexrees/scratch/bids/sub-035/ses-01/func/sub-035_ses-01_task-movie_run-01_bold.nii.gz	sub-035_ses-01_task-movie_run-01_events.tsv	False
sub-035	ses-01	movie	03	mag	/home/alexrees/scratch/bids/sub-035/ses-01/func/sub-035_ses-01_task-movie_run-03_bold.nii.gz	sub-035_ses-01_task-movie_run-03_events.tsv	False
sub-035	ses-01	control	01	mag	/home/alexrees/scratch/bids/sub-035/ses-01/func/sub-035_ses-01_task-control_run-01_bold.nii.gz	sub-035_ses-01_task-control_run-01_events.tsv	False
sub-035	ses-01	movie	05	mag	/home/alexrees/scratch/bids/sub-035/ses-01/func/sub-035_ses-01_task-movie_run-05_bold.nii.gz	sub-035_ses-01_task-movie_run-05_events.tsv	False
sub-035	ses-01	movie	07	mag	/home/alexrees/scratch/bids/sub-035/ses-01/func/sub-035_ses-01_task-movie_run-07_bold.nii.gz	sub-035_ses-01_task-movie_run-07_events.tsv	False
sub-035	ses-01	control	03	mag	/home/alexrees/scratch/bids/sub-035/ses-01/func/sub-035_ses-01_task-control_run-03_bold.nii.gz	sub-035_ses-01_task-control_run-03_events.tsv	False
sub-048	ses-02	control	01	mag	/home/alexrees/scratch/bids/sub-048/ses-02/func/sub-048_ses-02_task-control_run-01_bold.nii.gz	sub-048_ses-02_task-control_run-01_events.tsv	False
sub-048	ses-02	control	03	mag	/home/alexrees/scratch/bids/sub-048/ses-02/func/sub-048_ses-02_task-control_run-03_bold.nii.gz	sub-048_ses-02_task-control_run-03_events.tsv	False
sub-048	ses-02	control	05	mag	/home/alexrees/scratch/bids/sub-048/ses-02/func/sub-048_ses-02_task-control_run-05_bold.nii.gz	sub-048_ses-02_task-control_run-05_events.tsv	False
sub-048	ses-02	movie	01	mag	/home/alexrees/scratch/bids/sub-048/ses-02/func/sub-048_ses-02_task-movie_run-01_bold.nii.gz	sub-048_ses-02_task-movie_run-01_events.tsv	False
sub-048	ses-02	movie	03	mag	/home/alexrees/scratch/bids/sub-048/ses-02/func/sub-048_ses-02_task-movie_run-03_bold.nii.gz	sub-048_ses-02_task-movie_run-03_events.tsv	False
sub-048	ses-02	movie	05	mag	/home/alexrees/scratch/bids/sub-048/ses-02/func/sub-048_ses-02_task-movie_run-05_bold.nii.gz	sub-048_ses-02_task-movie_run-05_events.tsv	False
sub-048	ses-02	rest	01	mag	/home/alexrees/scratch/bids/sub-048/ses-02/func/sub-048_ses-02_task-rest_run-01_bold.nii.gz	sub-048_ses-02_task-rest_run-01_events.tsv	False
sub-048	ses-02	movie	07	mag	/home/alexrees/scratch/bids/sub-048/ses-02/func/sub-048_ses-02_task-movie_run-07_bold.nii.gz	sub-048_ses-02_task-movie_run-07_events.tsv	False
sub-048	ses-01	rest	01	mag	/home/alexrees/scratch/bids/sub-048/ses-01/func/sub-048_ses-01_task-rest_run-01_bold.nii.gz	sub-048_ses-01_task-rest_run-01_events.tsv	False
sub-048	ses-01	control	03	mag	/home/alexrees/scratch/bids/sub-048/ses-01/func/sub-048_ses-01_task-control_run-03_bold.nii.gz	sub-048_ses-01_task-control_run-03_events.tsv	False
sub-048	ses-01	movie	01	mag	/home/alexrees/scratch/bids/sub-048/ses-01/func/sub-048_ses-01_task-movie_run-01_bold.nii.gz	sub-048_ses-01_task-movie_run-01_events.tsv	False
sub-048	ses-01	control	01	mag	/home/alexrees/scratch/bids/sub-048/ses-01/func/sub-048_ses-01_task-control_run-01_bold.nii.gz	sub-048_ses-01_task-control_run-01_events.tsv	False
sub-048	ses-01	movie	03	mag	/home/alexrees/scratch/bids/sub-048/ses-01/func/sub-048_ses-01_task-movie_run-03_bold.nii.gz	sub-048_ses-01_task-movie_run-03_events.tsv	False
sub-048	ses-01	movie	05	mag	/home/alexrees/scratch/bids/sub-048/ses-01/func/sub-048_ses-01_task-movie_run-05_bold.nii.gz	sub-048_ses-01_task-movie_run-05_events.tsv	False
sub-048	ses-01	movie	07	mag	/home/alexrees/scratch/bids/sub-048/ses-01/func/sub-048_ses-01_task-movie_run-07_bold.nii.gz	sub-048_ses-01_task-movie_run-07_events.tsv	False
sub-048	ses-01	control	05	mag	/home/alexrees/scratch/bids/sub-048/ses-01/func/sub-048_ses-01_task-control_run-05_bold.nii.gz	sub-048_ses-01_task-control_run-05_events.tsv	False
sub-007	ses-01	movie	03	mag	/home/alexrees/scratch/bids/sub-007/ses-01/func/sub-007_ses-01_task-movie_run-03_bold.nii.gz	sub-007_ses-01_task-movie_run-03_events.tsv	False
sub-007	ses-01	control	03	mag	/home/alexrees/scratch/bids/sub-007/ses-01/func/sub-007_ses-01_task-control_run-03_bold.nii.gz	sub-007_ses-01_task-control_run-03_events.tsv	False
sub-007	ses-01	movie	01	mag	/home/alexrees/scratch/bids/sub-007/ses-01/func/sub-007_ses-01_task-movie_run-01_bold.nii.gz	sub-007_ses-01_task-movie_run-01_events.tsv	False
sub-007	ses-01	control	01	mag	/home/alexrees/scratch/bids/sub-007/ses-01/func/sub-007_ses-01_task-control_run-01_bold.nii.gz	sub-007_ses-01_task-control_run-01_events.tsv	False
sub-007	ses-01	movie	07	mag	/home/alexrees/scratch/bids/sub-007/ses-01/func/sub-007_ses-01_task-movie_run-07_bold.nii.gz	sub-007_ses-01_task-movie_run-07_events.tsv	False
sub-007	ses-01	control	05	mag	/home/alexrees/scratch/bids/sub-007/ses-01/func/sub-007_ses-01_task-control_run-05_bold.nii.gz	sub-007_ses-01_task-control_run-05_events.tsv	False
sub-007	ses-01	movie	05	mag	/home/alexrees/scratch/bids/sub-007/ses-01/func/sub-007_ses-01_task-movie_run-05_bold.nii.gz	sub-007_ses-01_task-movie_run-05_events.tsv	False
sub-007	ses-01	movie	09	mag	/home/alexrees/scratch/bids/sub-007/ses-01/func/sub-007_ses-01_task-movie_run-09_bold.nii.gz	sub-007_ses-01_task-movie_run-09_events.tsv	False
sub-007	ses-01	rest	01	mag	/home/alexrees/scratch/bids/sub-007/ses-01/func/sub-007_ses-01_task-rest_run-01_bold.nii.gz	sub-007_ses-01_task-rest_run-01_events.tsv	False
sub-007	ses-02	movie	01	mag	/home/alexrees/scratch/bids/sub-007/ses-02/func/sub-007_ses-02_task-movie_run-01_bold.nii.gz	sub-007_ses-02_task-movie_run-01_events.tsv	False
sub-007	ses-02	movie	03	mag	/home/alexrees/scratch/bids/sub-007/ses-02/func/sub-007_ses-02_task-movie_run-03_bold.nii.gz	sub-007_ses-02_task-movie_run-03_events.tsv	False
sub-007	ses-02	movie	05	mag	/home/alexrees/scratch/bids/sub-007/ses-02/func/sub-007_ses-02_task-movie_run-05_bold.nii.gz	sub-007_ses-02_task-movie_run-05_events.tsv	False
sub-007	ses-02	movie	07	mag	/home/alexrees/scratch/bids/sub-007/ses-02/func/sub-007_ses-02_task-movie_run-07_bold.nii.gz	sub-007_ses-02_task-movie_run-07_events.tsv	False
sub-007	ses-02	rest	01	mag	/home/alexrees/scratch/bids/sub-007/ses-02/func/sub-007_ses-02_task-rest_run-01_bold.nii.gz	sub-007_ses-02_task-rest_run-01_events.tsv	False
sub-007	ses-02	control	01	mag	/home/alexrees/scratch/bids/sub-007/ses-02/func/sub-007_ses-02_task-control_run-01_bold.nii.gz	sub-007_ses-02_task-control_run-01_events.tsv	False
sub-007	ses-02	control	03	mag	/home/alexrees/scratch/bids/sub-007/ses-02/func/sub-007_ses-02_task-control_run-03_bold.nii.gz	sub-007_ses-02_task-control_run-03_events.tsv	False
sub-007	ses-02	control	05	mag	/home/alexrees/scratch/bids/sub-007/ses-02/func/sub-007_ses-02_task-control_run-05_bold.nii.gz	sub-007_ses-02_task-control_run-05_events.tsv	False
sub-070	ses-01	control	01	mag	/home/alexrees/scratch/bids/sub-070/ses-01/func/sub-070_ses-01_task-control_run-01_bold.nii.gz	sub-070_ses-01_task-control_run-01_events.tsv	False
sub-070	ses-01	movie	05	mag	/home/alexrees/scratch/bids/sub-070/ses-01/func/sub-070_ses-01_task-movie_run-05_bold.nii.gz	sub-070_ses-01_task-movie_run-05_events.tsv	False
sub-070	ses-01	rest	01	mag	/home/alexrees/scratch/bids/sub-070/ses-01/func/sub-070_ses-01_task-rest_run-01_bold.nii.gz	sub-070_ses-01_task-rest_run-01_events.tsv	False
sub-070	ses-01	movie	07	mag	/home/alexrees/scratch/bids/sub-070/ses-01/func/sub-070_ses-01_task-movie_run-07_bold.nii.gz	sub-070_ses-01_task-movie_run-07_events.tsv	False
sub-070	ses-01	movie	01	mag	/home/alexrees/scratch/bids/sub-070/ses-01/func/sub-070_ses-01_task-movie_run-01_bold.nii.gz	sub-070_ses-01_task-movie_run-01_events.tsv	False
sub-070	ses-01	movie	03	mag	/home/alexrees/scratch/bids/sub-070/ses-01/func/sub-070_ses-01_task-movie_run-03_bold.nii.gz	sub-070_ses-01_task-movie_run-03_events.tsv	False
sub-051	ses-01	fmri	01	mag	/home/alexrees/scratch/bids/sub-051/ses-01/func/sub-051_ses-01_task-fmri_run-01_bold.nii.gz	sub-051_ses-01_task-fmri_run-01_events.tsv	False
sub-051	ses-01	rest	01	mag	/home/alexrees/scratch/bids/sub-051/ses-01/func/sub-051_ses-01_task-rest_run-01_bold.nii.gz	sub-051_ses-01_task-rest_run-01_events.tsv	False
sub-051	ses-01	fmri	03	mag	/home/alexrees/scratch/bids/sub-051/ses-01/func/sub-051_ses-01_task-fmri_run-03_bold.nii.gz	sub-051_ses-01_task-fmri_run-03_events.tsv	False
sub-051	ses-01	control	05	mag	/home/alexrees/scratch/bids/sub-051/ses-01/func/sub-051_ses-01_task-control_run-05_bold.nii.gz	sub-051_ses-01_task-control_run-05_events.tsv	False
sub-051	ses-01	control	03	mag	/home/alexrees/scratch/bids/sub-051/ses-01/func/sub-051_ses-01_task-control_run-03_bold.nii.gz	sub-051_ses-01_task-control_run-03_events.tsv	False
sub-051	ses-01	fmri	05	mag	/home/alexrees/scratch/bids/sub-051/ses-01/func/sub-051_ses-01_task-fmri_run-05_bold.nii.gz	sub-051_ses-01_task-fmri_run-05_events.tsv	False
sub-051	ses-01	control	01	mag	/home/alexrees/scratch/bids/sub-051/ses-01/func/sub-051_ses-01_task-control_run-01_bold.nii.gz	sub-051_ses-01_task-control_run-01_events.tsv	False
sub-051	ses-01	fmri	07	mag	/home/alexrees/scratch/bids/sub-051/ses-01/func/sub-051_ses-01_task-fmri_run-07_bold.nii.gz	sub-051_ses-01_task-fmri_run-07_events.tsv	False
sub-051	ses-01	movie	03	mag	/home/alexrees/scratch/bids/sub-051/ses-01/func/sub-051_ses-01_task-movie_run-03_bold.nii.gz	sub-051_ses-01_task-movie_run-03_events.tsv	False
sub-051	ses-01	movie	01	mag	/home/alexrees/scratch/bids/sub-051/ses-01/func/sub-051_ses-01_task-movie_run-01_bold.nii.gz	sub-051_ses-01_task-movie_run-01_events.tsv	False
sub-051	ses-01	movie	07	mag	/home/alexrees/scratch/bids/sub-051/ses-01/func/sub-051_ses-01_task-movie_run-07_bold.nii.gz	sub-051_ses-01_task-movie_run-07_events.tsv	False
sub-051	ses-01	movie	05	mag	/home/alexrees/scratch/bids/sub-051/ses-01/func/sub-051_ses-01_task-movie_run-05_bold.nii.gz	sub-051_ses-01_task-movie_run-05_events.tsv	False
sub-026	ses-02	movie	01	mag	/home/alexrees/scratch/bids/sub-026/ses-02/func/sub-026_ses-02_task-movie_run-01_bold.nii.gz	sub-026_ses-02_task-movie_run-01_events.tsv	False
sub-026	ses-02	rest	01	mag	/home/alexrees/scratch/bids/sub-026/ses-02/func/sub-026_ses-02_task-rest_run-01_bold.nii.gz	sub-026_ses-02_task-rest_run-01_events.tsv	False
sub-026	ses-02	movie	03	mag	/home/alexrees/scratch/bids/sub-026/ses-02/func/sub-026_ses-02_task-movie_run-03_bold.nii.gz	sub-026_ses-02_task-movie_run-03_events.tsv	False
sub-026	ses-02	movie	05	mag	/home/alexrees/scratch/bids/sub-026/ses-02/func/sub-026_ses-02_task-movie_run-05_bold.nii.gz	sub-026_ses-02_task-movie_run-05_events.tsv	False
sub-026	ses-02	movie	07	mag	/home/alexrees/scratch/bids/sub-026/ses-02/func/sub-026_ses-02_task-movie_run-07_bold.nii.gz	sub-026_ses-02_task-movie_run-07_events.tsv	False
sub-026	ses-02	control	05	mag	/home/alexrees/scratch/bids/sub-026/ses-02/func/sub-026_ses-02_task-control_run-05_bold.nii.gz	sub-026_ses-02_task-control_run-05_events.tsv	False
sub-026	ses-02	control	01	mag	/home/alexrees/scratch/bids/sub-026/ses-02/func/sub-026_ses-02_task-control_run-01_bold.nii.gz	sub-026_ses-02_task-control_run-01_events.tsv	False
sub-026	ses-02	control	03	mag	/home/alexrees/scratch/bids/sub-026/ses-02/func/sub-026_ses-02_task-control_run-03_bold.nii.gz	sub-026_ses-02_task-control_run-03_events.tsv	False
sub-026	ses-01	control	01	mag	/home/alexrees/scratch/bids/sub-026/ses-01/func/sub-026_ses-01_task-control_run-01_bold.nii.gz	sub-026_ses-01_task-control_run-01_events.tsv	False
sub-026	ses-01	control	03	mag	/home/alexrees/scratch/bids/sub-026/ses-01/func/sub-026_ses-01_task-control_run-03_bold.nii.gz	sub-026_ses-01_task-control_run-03_events.tsv	False
sub-026	ses-01	control	05	mag	/home/alexrees/scratch/bids/sub-026/ses-01/func/sub-026_ses-01_task-control_run-05_bold.nii.gz	sub-026_ses-01_task-control_run-05_events.tsv	False
sub-026	ses-01	movie	03	mag	/home/alexrees/scratch/bids/sub-026/ses-01/func/sub-026_ses-01_task-movie_run-03_bold.nii.gz	sub-026_ses-01_task-movie_run-03_events.tsv	False
sub-026	ses-01	movie	01	mag	/home/alexrees/scratch/bids/sub-026/ses-01/func/sub-026_ses-01_task-movie_run-01_bold.nii.gz	sub-026_ses-01_task-movie_run-01_events.tsv	False
sub-026	ses-01	rest	01	mag	/home/alexrees/scratch/bids/sub-026/ses-01/func/sub-026_ses-01_task-rest_run-01_bold.nii.gz	sub-026_ses-01_task-rest_run-01_events.tsv	False
sub-026	ses-01	movie	07	mag	/home/alexrees/scratch/bids/sub-026/ses-01/func/sub-026_ses-01_task-movie_run-07_bold.nii.gz	sub-026_ses-01_task-movie_run-07_events.tsv	False
sub-026	ses-01	movie	05	mag	/home/alexrees/scratch/bids/sub-026/ses-01/func/sub-026_ses-01_task-movie_run-05_bold.nii.gz	sub-026_ses-01_task-movie_run-05_events.tsv	False
sub-069	ses-01	control	05	mag	/home/alexrees/scratch/bids/sub-069/ses-01/func/sub-069_ses-01_task-control_run-05_bold.nii.gz	sub-069_ses-01_task-control_run-05_events.tsv	False
sub-069	ses-01	movie	05	mag	/home/alexrees/scratch/bids/sub-069/ses-01/func/sub-069_ses-01_task-movie_run-05_bold.nii.gz	sub-069_ses-01_task-movie_run-05_events.tsv	False
sub-069	ses-01	rest	01	mag	/home/alexrees/scratch/bids/sub-069/ses-01/func/sub-069_ses-01_task-rest_run-01_bold.nii.gz	sub-069_ses-01_task-rest_run-01_events.tsv	False
sub-069	ses-01	movie	07	mag	/home/alexrees/scratch/bids/sub-069/ses-01/func/sub-069_ses-01_task-movie_run-07_bold.nii.gz	sub-069_ses-01_task-movie_run-07_events.tsv	False
sub-069	ses-01	movie	01	mag	/home/alexrees/scratch/bids/sub-069/ses-01/func/sub-069_ses-01_task-movie_run-01_bold.nii.gz	sub-069_ses-01_task-movie_run-01_events.tsv	False
sub-069	ses-01	control	01	mag	/home/alexrees/scratch/bids/sub-069/ses-01/func/sub-069_ses-01_task-control_run-01_bold.nii.gz	sub-069_ses-01_task-control_run-01_events.tsv	False
sub-069	ses-01	movie	03	mag	/home/alexrees/scratch/bids/sub-069/ses-01/func/sub-069_ses-01_task-movie_run-03_bold.nii.gz	sub-069_ses-01_task-movie_run-03_events.tsv	False
sub-069	ses-01	control	03	mag	/home/alexrees/scratch/bids/sub-069/ses-01/func/sub-069_ses-01_task-control_run-03_bold.nii.gz	sub-069_ses-01_task-control_run-03_events.tsv	False
sub-069	ses-02	control	03	mag	/home/alexrees/scratch/bids/sub-069/ses-02/func/sub-069_ses-02_task-control_run-03_bold.nii.gz	sub-069_ses-02_task-control_run-03_events.tsv	False
sub-069	ses-02	movie	01	mag	/home/alexrees/scratch/bids/sub-069/ses-02/func/sub-069_ses-02_task-movie_run-01_bold.nii.gz	sub-069_ses-02_task-movie_run-01_events.tsv	False
sub-069	ses-02	rest	01	mag	/home/alexrees/scratch/bids/sub-069/ses-02/func/sub-069_ses-02_task-rest_run-01_bold.nii.gz	sub-069_ses-02_task-rest_run-01_events.tsv	False
sub-069	ses-02	control	01	mag	/home/alexrees/scratch/bids/sub-069/ses-02/func/sub-069_ses-02_task-control_run-01_bold.nii.gz	sub-069_ses-02_task-control_run-01_events.tsv	False
sub-069	ses-02	movie	03	mag	/home/alexrees/scratch/bids/sub-069/ses-02/func/sub-069_ses-02_task-movie_run-03_bold.nii.gz	sub-069_ses-02_task-movie_run-03_events.tsv	False
sub-069	ses-02	movie	05	mag	/home/alexrees/scratch/bids/sub-069/ses-02/func/sub-069_ses-02_task-movie_run-05_bold.nii.gz	sub-069_ses-02_task-movie_run-05_events.tsv	False
sub-069	ses-02	movie	07	mag	/home/alexrees/scratch/bids/sub-069/ses-02/func/sub-069_ses-02_task-movie_run-07_bold.nii.gz	sub-069_ses-02_task-movie_run-07_events.tsv	False
sub-069	ses-02	control	05	mag	/home/alexrees/scratch/bids/sub-069/ses-02/func/sub-069_ses-02_task-control_run-05_bold.nii.gz	sub-069_ses-02_task-control_run-05_events.tsv	False
sub-014	ses-01	movie	01	mag	/home/alexrees/scratch/bids/sub-014/ses-01/func/sub-014_ses-01_task-movie_run-01_bold.nii.gz	sub-014_ses-01_task-movie_run-01_events.tsv	False
sub-014	ses-01	movie	03	mag	/home/alexrees/scratch/bids/sub-014/ses-01/func/sub-014_ses-01_task-movie_run-03_bold.nii.gz	sub-014_ses-01_task-movie_run-03_events.tsv	False
sub-014	ses-01	movie	05	mag	/home/alexrees/scratch/bids/sub-014/ses-01/func/sub-014_ses-01_task-movie_run-05_bold.nii.gz	sub-014_ses-01_task-movie_run-05_events.tsv	False
sub-014	ses-01	movie	07	mag	/home/alexrees/scratch/bids/sub-014/ses-01/func/sub-014_ses-01_task-movie_run-07_bold.nii.gz	sub-014_ses-01_task-movie_run-07_events.tsv	False
sub-014	ses-01	rest	01	mag	/home/alexrees/scratch/bids/sub-014/ses-01/func/sub-014_ses-01_task-rest_run-01_bold.nii.gz	sub-014_ses-01_task-rest_run-01_events.tsv	False
sub-014	ses-01	control	05	mag	/home/alexrees/scratch/bids/sub-014/ses-01/func/sub-014_ses-01_task-control_run-05_bold.nii.gz	sub-014_ses-01_task-control_run-05_events.tsv	False
sub-014	ses-01	control	03	mag	/home/alexrees/scratch/bids/sub-014/ses-01/func/sub-014_ses-01_task-control_run-03_bold.nii.gz	sub-014_ses-01_task-control_run-03_events.tsv	False
sub-014	ses-01	control	01	mag	/home/alexrees/scratch/bids/sub-014/ses-01/func/sub-014_ses-01_task-control_run-01_bold.nii.gz	sub-014_ses-01_task-control_run-01_events.tsv	False
sub-063	ses-01	control	03	mag	/home/alexrees/scratch/bids/sub-063/ses-01/func/sub-063_ses-01_task-control_run-03_bold.nii.gz	sub-063_ses-01_task-control_run-03_events.tsv	False
sub-063	ses-01	control	01	mag	/home/alexrees/scratch/bids/sub-063/ses-01/func/sub-063_ses-01_task-control_run-01_bold.nii.gz	sub-063_ses-01_task-control_run-01_events.tsv	False
sub-063	ses-01	rest	01	mag	/home/alexrees/scratch/bids/sub-063/ses-01/func/sub-063_ses-01_task-rest_run-01_bold.nii.gz	sub-063_ses-01_task-rest_run-01_events.tsv	False
sub-080	ses-01	rest	01	mag	/home/alexrees/scratch/bids/sub-080/ses-01/func/sub-080_ses-01_task-rest_run-01_bold.nii.gz	sub-080_ses-01_task-rest_run-01_events.tsv	False
sub-080	ses-01	control	03	mag	/home/alexrees/scratch/bids/sub-080/ses-01/func/sub-080_ses-01_task-control_run-03_bold.nii.gz	sub-080_ses-01_task-control_run-03_events.tsv	False
sub-080	ses-01	movie	07	mag	/home/alexrees/scratch/bids/sub-080/ses-01/func/sub-080_ses-01_task-movie_run-07_bold.nii.gz	sub-080_ses-01_task-movie_run-07_events.tsv	False
sub-080	ses-01	control	01	mag	/home/alexrees/scratch/bids/sub-080/ses-01/func/sub-080_ses-01_task-control_run-01_bold.nii.gz	sub-080_ses-01_task-control_run-01_events.tsv	False
sub-080	ses-01	movie	05	mag	/home/alexrees/scratch/bids/sub-080/ses-01/func/sub-080_ses-01_task-movie_run-05_bold.nii.gz	sub-080_ses-01_task-movie_run-05_events.tsv	False
sub-080	ses-01	movie	03	mag	/home/alexrees/scratch/bids/sub-080/ses-01/func/sub-080_ses-01_task-movie_run-03_bold.nii.gz	sub-080_ses-01_task-movie_run-03_events.tsv	False
sub-080	ses-01	movie	01	mag	/home/alexrees/scratch/bids/sub-080/ses-01/func/sub-080_ses-01_task-movie_run-01_bold.nii.gz	sub-080_ses-01_task-movie_run-01_events.tsv	False
sub-080	ses-01	control	05	mag	/home/alexrees/scratch/bids/sub-080/ses-01/func/sub-080_ses-01_task-control_run-05_bold.nii.gz	sub-080_ses-01_task-control_run-05_events.tsv	False
sub-019	ses-01	movie	01	mag	/home/alexrees/scratch/bids/sub-019/ses-01/func/sub-019_ses-01_task-movie_run-01_bold.nii.gz	sub-019_ses-01_task-movie_run-01_events.tsv	False
sub-019	ses-01	movie	03	mag	/home/alexrees/scratch/bids/sub-019/ses-01/func/sub-019_ses-01_task-movie_run-03_bold.nii.gz	sub-019_ses-01_task-movie_run-03_events.tsv	False
sub-019	ses-01	movie	05	mag	/home/alexrees/scratch/bids/sub-019/ses-01/func/sub-019_ses-01_task-movie_run-05_bold.nii.gz	sub-019_ses-01_task-movie_run-05_events.tsv	False
sub-019	ses-01	rest	01	mag	/home/alexrees/scratch/bids/sub-019/ses-01/func/sub-019_ses-01_task-rest_run-01_bold.nii.gz	sub-019_ses-01_task-rest_run-01_events.tsv	False
sub-019	ses-01	movie	07	mag	/home/alexrees/scratch/bids/sub-019/ses-01/func/sub-019_ses-01_task-movie_run-07_bold.nii.gz	sub-019_ses-01_task-movie_run-07_events.tsv	False
sub-019	ses-01	control	01	mag	/home/alexrees/scratch/bids/sub-019/ses-01/func/sub-019_ses-01_task-control_run-01_bold.nii.gz	sub-019_ses-01_task-control_run-01_events.tsv	False
sub-019	ses-01	control	03	mag	/home/alexrees/scratch/bids/sub-019/ses-01/func/sub-019_ses-01_task-control_run-03_bold.nii.gz	sub-019_ses-01_task-control_run-03_events.tsv	False
sub-019	ses-01	control	05	mag	/home/alexrees/scratch/bids/sub-019/ses-01/func/sub-019_ses-01_task-control_run-05_bold.nii.gz	sub-019_ses-01_task-control_run-05_events.tsv	False
sub-019	ses-02	rest	01	mag	/home/alexrees/scratch/bids/sub-019/ses-02/func/sub-019_ses-02_task-rest_run-01_bold.nii.gz	sub-019_ses-02_task-rest_run-01_events.tsv	False
sub-019	ses-02	movie	01	mag	/home/alexrees/scratch/bids/sub-019/ses-02/func/sub-019_ses-02_task-movie_run-01_bold.nii.gz	sub-019_ses-02_task-movie_run-01_events.tsv	False
sub-019	ses-02	control	05	mag	/home/alexrees/scratch/bids/sub-019/ses-02/func/sub-019_ses-02_task-control_run-05_bold.nii.gz	sub-019_ses-02_task-control_run-05_events.tsv	False
sub-019	ses-02	movie	03	mag	/home/alexrees/scratch/bids/sub-019/ses-02/func/sub-019_ses-02_task-movie_run-03_bold.nii.gz	sub-019_ses-02_task-movie_run-03_events.tsv	False
sub-019	ses-02	control	01	mag	/home/alexrees/scratch/bids/sub-019/ses-02/func/sub-019_ses-02_task-control_run-01_bold.nii.gz	sub-019_ses-02_task-control_run-01_events.tsv	False
