subject	session	freesurfer_found	aseg_found	lh_aparc_found	rh_aparc_found	status	reason
sub-017	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-017	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-018	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-019	ses-01	TRUE	FALSE	FALSE	FALSE	FAILED	recon-all status=FAILED; aseg.stats missing; lh.aparc.stats missing; rh.aparc.stats missing; wmparc.stats missing (optional)
sub-019	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-020	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-021	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-021	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-022	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-022	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-023	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-023	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-024	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-024	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-025	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-025	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-026	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-026	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-027	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-027	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-028	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-028	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-029	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-029	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-030	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-030	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-031	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-031	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-032	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-033	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-034	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-034	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-035	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-035	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-036	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-036	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-037	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-038	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-038	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-039	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-039	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-040	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-040	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-041	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-041	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-042	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-043	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-044	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-044	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-045	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-046	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-046	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-047	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-047	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-048	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-048	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-049	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-050	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-051	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-052	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-052	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-053	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-054	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-054	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-056	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-057	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-057	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-058	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-059	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-060	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-061	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-062	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-063	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-064	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-064	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-065	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-066	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-066	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-067	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-067	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-068	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-068	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-069	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-069	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-070	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-071	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-072	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-072	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-073	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-073	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-074	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-074	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-075	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-076	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-077	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-078	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-079	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-080	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-081	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-081	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-082	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-083	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-084	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
