participant_id	session_id	bids_run	protocol	has_events_tsv	matlab_selection_logs_in_session	matlab_run_ids_seen	can_reconstruct_segment_identity	segment_identity_confidence	can_reconstruct_segment_timings_scanner_locked	segment_timing_confidence	can_reconstruct_scene_timings	scene_confidence	recommended_segment_method	recommended_scene_method	evidence	blockers
sub-035	ses-01	07		False	4	1,2,3,4	YES	MEDIUM	NO	LOW	NO	HIGH_NEGATIVE	Map BIDS task-movie runs to MATLAB selected_run_id logs (chronology + AcquisitionTime); emit trial_type=movie_segment, stimulus_file=MovieXA.mp4, eye=L/R; coarse onset=0, duration=n_vols*TR or mp4 duration (design-level only)	Not reconstructible — no scene annotations in archive	main.m: run_id 1→Movie1A left; 2→Movie2A right; 3→Movie1B right; 4→Movie2B left | session selection logs=4; run_ids=1,2,3,4 | MP4s present under 3-Movie_Data but copyright-excluded from public stimuli/	Movie Results .mat lack triggerTimes/VBL/frame timestamps | Show_movie.m starts PlayMovie before KbQueueWait(t); no saved sync to scanner volumes | No scene cut list / annotations in scripts or logs
sub-035	ses-01	05		False	4	1,2,3,4	YES	MEDIUM	NO	LOW	NO	HIGH_NEGATIVE	Map BIDS task-movie runs to MATLAB selected_run_id logs (chronology + AcquisitionTime); emit trial_type=movie_segment, stimulus_file=MovieXA.mp4, eye=L/R; coarse onset=0, duration=n_vols*TR or mp4 duration (design-level only)	Not reconstructible — no scene annotations in archive	main.m: run_id 1→Movie1A left; 2→Movie2A right; 3→Movie1B right; 4→Movie2B left | session selection logs=4; run_ids=1,2,3,4 | MP4s present under 3-Movie_Data but copyright-excluded from public stimuli/	Movie Results .mat lack triggerTimes/VBL/frame timestamps | Show_movie.m starts PlayMovie before KbQueueWait(t); no saved sync to scanner volumes | No scene cut list / annotations in scripts or logs
sub-048	ses-02	07		False	4	1,2,3,4	YES	MEDIUM	NO	LOW	NO	HIGH_NEGATIVE	Map BIDS task-movie runs to MATLAB selected_run_id logs (chronology + AcquisitionTime); emit trial_type=movie_segment, stimulus_file=MovieXA.mp4, eye=L/R; coarse onset=0, duration=n_vols*TR or mp4 duration (design-level only)	Not reconstructible — no scene annotations in archive	main.m: run_id 1→Movie1A left; 2→Movie2A right; 3→Movie1B right; 4→Movie2B left | session selection logs=4; run_ids=1,2,3,4 | MP4s present under 3-Movie_Data but copyright-excluded from public stimuli/	Movie Results .mat lack triggerTimes/VBL/frame timestamps | Show_movie.m starts PlayMovie before KbQueueWait(t); no saved sync to scanner volumes | No scene cut list / annotations in scripts or logs
sub-048	ses-02	05		False	4	1,2,3,4	YES	MEDIUM	NO	LOW	NO	HIGH_NEGATIVE	Map BIDS task-movie runs to MATLAB selected_run_id logs (chronology + AcquisitionTime); emit trial_type=movie_segment, stimulus_file=MovieXA.mp4, eye=L/R; coarse onset=0, duration=n_vols*TR or mp4 duration (design-level only)	Not reconstructible — no scene annotations in archive	main.m: run_id 1→Movie1A left; 2→Movie2A right; 3→Movie1B right; 4→Movie2B left | session selection logs=4; run_ids=1,2,3,4 | MP4s present under 3-Movie_Data but copyright-excluded from public stimuli/	Movie Results .mat lack triggerTimes/VBL/frame timestamps | Show_movie.m starts PlayMovie before KbQueueWait(t); no saved sync to scanner volumes | No scene cut list / annotations in scripts or logs
sub-048	ses-02	03		False	4	1,2,3,4	YES	MEDIUM	NO	LOW	NO	HIGH_NEGATIVE	Map BIDS task-movie runs to MATLAB selected_run_id logs (chronology + AcquisitionTime); emit trial_type=movie_segment, stimulus_file=MovieXA.mp4, eye=L/R; coarse onset=0, duration=n_vols*TR or mp4 duration (design-level only)	Not reconstructible — no scene annotations in archive	main.m: run_id 1→Movie1A left; 2→Movie2A right; 3→Movie1B right; 4→Movie2B left | session selection logs=4; run_ids=1,2,3,4 | MP4s present under 3-Movie_Data but copyright-excluded from public stimuli/	Movie Results .mat lack triggerTimes/VBL/frame timestamps | Show_movie.m starts PlayMovie before KbQueueWait(t); no saved sync to scanner volumes | No scene cut list / annotations in scripts or logs
sub-048	ses-02	01		False	4	1,2,3,4	YES	MEDIUM	NO	LOW	NO	HIGH_NEGATIVE	Map BIDS task-movie runs to MATLAB selected_run_id logs (chronology + AcquisitionTime); emit trial_type=movie_segment, stimulus_file=MovieXA.mp4, eye=L/R; coarse onset=0, duration=n_vols*TR or mp4 duration (design-level only)	Not reconstructible — no scene annotations in archive	main.m: run_id 1→Movie1A left; 2→Movie2A right; 3→Movie1B right; 4→Movie2B left | session selection logs=4; run_ids=1,2,3,4 | MP4s present under 3-Movie_Data but copyright-excluded from public stimuli/	Movie Results .mat lack triggerTimes/VBL/frame timestamps | Show_movie.m starts PlayMovie before KbQueueWait(t); no saved sync to scanner volumes | No scene cut list / annotations in scripts or logs
sub-048	ses-01	01		False	0		UNCERTAIN	LOW	NO	LOW	NO	HIGH_NEGATIVE	Map BIDS task-movie runs to MATLAB selected_run_id logs (chronology + AcquisitionTime); emit trial_type=movie_segment, stimulus_file=MovieXA.mp4, eye=L/R; coarse onset=0, duration=n_vols*TR or mp4 duration (design-level only)	Not reconstructible — no scene annotations in archive	main.m: run_id 1→Movie1A left; 2→Movie2A right; 3→Movie1B right; 4→Movie2B left | session selection logs=0; run_ids=none | MP4s present under 3-Movie_Data but copyright-excluded from public stimuli/	Movie Results .mat lack triggerTimes/VBL/frame timestamps | Show_movie.m starts PlayMovie before KbQueueWait(t); no saved sync to scanner volumes | No scene cut list / annotations in scripts or logs | No movie selection .mat logs matched to this BIDS subject/session via inventory subject field
sub-048	ses-01	03		False	0		UNCERTAIN	LOW	NO	LOW	NO	HIGH_NEGATIVE	Map BIDS task-movie runs to MATLAB selected_run_id logs (chronology + AcquisitionTime); emit trial_type=movie_segment, stimulus_file=MovieXA.mp4, eye=L/R; coarse onset=0, duration=n_vols*TR or mp4 duration (design-level only)	Not reconstructible — no scene annotations in archive	main.m: run_id 1→Movie1A left; 2→Movie2A right; 3→Movie1B right; 4→Movie2B left | session selection logs=0; run_ids=none | MP4s present under 3-Movie_Data but copyright-excluded from public stimuli/	Movie Results .mat lack triggerTimes/VBL/frame timestamps | Show_movie.m starts PlayMovie before KbQueueWait(t); no saved sync to scanner volumes | No scene cut list / annotations in scripts or logs | No movie selection .mat logs matched to this BIDS subject/session via inventory subject field
sub-048	ses-01	05		False	0		UNCERTAIN	LOW	NO	LOW	NO	HIGH_NEGATIVE	Map BIDS task-movie runs to MATLAB selected_run_id logs (chronology + AcquisitionTime); emit trial_type=movie_segment, stimulus_file=MovieXA.mp4, eye=L/R; coarse onset=0, duration=n_vols*TR or mp4 duration (design-level only)	Not reconstructible — no scene annotations in archive	main.m: run_id 1→Movie1A left; 2→Movie2A right; 3→Movie1B right; 4→Movie2B left | session selection logs=0; run_ids=none | MP4s present under 3-Movie_Data but copyright-excluded from public stimuli/	Movie Results .mat lack triggerTimes/VBL/frame timestamps | Show_movie.m starts PlayMovie before KbQueueWait(t); no saved sync to scanner volumes | No scene cut list / annotations in scripts or logs | No movie selection .mat logs matched to this BIDS subject/session via inventory subject field
sub-048	ses-01	07		False	0		UNCERTAIN	LOW	NO	LOW	NO	HIGH_NEGATIVE	Map BIDS task-movie runs to MATLAB selected_run_id logs (chronology + AcquisitionTime); emit trial_type=movie_segment, stimulus_file=MovieXA.mp4, eye=L/R; coarse onset=0, duration=n_vols*TR or mp4 duration (design-level only)	Not reconstructible — no scene annotations in archive	main.m: run_id 1→Movie1A left; 2→Movie2A right; 3→Movie1B right; 4→Movie2B left | session selection logs=0; run_ids=none | MP4s present under 3-Movie_Data but copyright-excluded from public stimuli/	Movie Results .mat lack triggerTimes/VBL/frame timestamps | Show_movie.m starts PlayMovie before KbQueueWait(t); no saved sync to scanner volumes | No scene cut list / annotations in scripts or logs | No movie selection .mat logs matched to this BIDS subject/session via inventory subject field
sub-007	ses-01	01		False	5	1,2,3,4	YES	MEDIUM	NO	LOW	NO	HIGH_NEGATIVE	Map BIDS task-movie runs to MATLAB selected_run_id logs (chronology + AcquisitionTime); emit trial_type=movie_segment, stimulus_file=MovieXA.mp4, eye=L/R; coarse onset=0, duration=n_vols*TR or mp4 duration (design-level only)	Not reconstructible — no scene annotations in archive	main.m: run_id 1→Movie1A left; 2→Movie2A right; 3→Movie1B right; 4→Movie2B left | session selection logs=5; run_ids=1,2,3,4 | MP4s present under 3-Movie_Data but copyright-excluded from public stimuli/	Movie Results .mat lack triggerTimes/VBL/frame timestamps | Show_movie.m starts PlayMovie before KbQueueWait(t); no saved sync to scanner volumes | No scene cut list / annotations in scripts or logs
sub-007	ses-01	03		False	5	1,2,3,4	YES	MEDIUM	NO	LOW	NO	HIGH_NEGATIVE	Map BIDS task-movie runs to MATLAB selected_run_id logs (chronology + AcquisitionTime); emit trial_type=movie_segment, stimulus_file=MovieXA.mp4, eye=L/R; coarse onset=0, duration=n_vols*TR or mp4 duration (design-level only)	Not reconstructible — no scene annotations in archive	main.m: run_id 1→Movie1A left; 2→Movie2A right; 3→Movie1B right; 4→Movie2B left | session selection logs=5; run_ids=1,2,3,4 | MP4s present under 3-Movie_Data but copyright-excluded from public stimuli/	Movie Results .mat lack triggerTimes/VBL/frame timestamps | Show_movie.m starts PlayMovie before KbQueueWait(t); no saved sync to scanner volumes | No scene cut list / annotations in scripts or logs
sub-007	ses-01	05		False	5	1,2,3,4	YES	MEDIUM	NO	LOW	NO	HIGH_NEGATIVE	Map BIDS task-movie runs to MATLAB selected_run_id logs (chronology + AcquisitionTime); emit trial_type=movie_segment, stimulus_file=MovieXA.mp4, eye=L/R; coarse onset=0, duration=n_vols*TR or mp4 duration (design-level only)	Not reconstructible — no scene annotations in archive	main.m: run_id 1→Movie1A left; 2→Movie2A right; 3→Movie1B right; 4→Movie2B left | session selection logs=5; run_ids=1,2,3,4 | MP4s present under 3-Movie_Data but copyright-excluded from public stimuli/	Movie Results .mat lack triggerTimes/VBL/frame timestamps | Show_movie.m starts PlayMovie before KbQueueWait(t); no saved sync to scanner volumes | No scene cut list / annotations in scripts or logs
sub-007	ses-01	07		False	5	1,2,3,4	YES	MEDIUM	NO	LOW	NO	HIGH_NEGATIVE	Map BIDS task-movie runs to MATLAB selected_run_id logs (chronology + AcquisitionTime); emit trial_type=movie_segment, stimulus_file=MovieXA.mp4, eye=L/R; coarse onset=0, duration=n_vols*TR or mp4 duration (design-level only)	Not reconstructible — no scene annotations in archive	main.m: run_id 1→Movie1A left; 2→Movie2A right; 3→Movie1B right; 4→Movie2B left | session selection logs=5; run_ids=1,2,3,4 | MP4s present under 3-Movie_Data but copyright-excluded from public stimuli/	Movie Results .mat lack triggerTimes/VBL/frame timestamps | Show_movie.m starts PlayMovie before KbQueueWait(t); no saved sync to scanner volumes | No scene cut list / annotations in scripts or logs
sub-007	ses-01	09		False	5	1,2,3,4	YES	MEDIUM	NO	LOW	NO	HIGH_NEGATIVE	Map BIDS task-movie runs to MATLAB selected_run_id logs (chronology + AcquisitionTime); emit trial_type=movie_segment, stimulus_file=MovieXA.mp4, eye=L/R; coarse onset=0, duration=n_vols*TR or mp4 duration (design-level only)	Not reconstructible — no scene annotations in archive	main.m: run_id 1→Movie1A left; 2→Movie2A right; 3→Movie1B right; 4→Movie2B left | session selection logs=5; run_ids=1,2,3,4 | MP4s present under 3-Movie_Data but copyright-excluded from public stimuli/	Movie Results .mat lack triggerTimes/VBL/frame timestamps | Show_movie.m starts PlayMovie before KbQueueWait(t); no saved sync to scanner volumes | No scene cut list / annotations in scripts or logs
sub-007	ses-02	03		False	4	1,2,3,4	YES	MEDIUM	NO	LOW	NO	HIGH_NEGATIVE	Map BIDS task-movie runs to MATLAB selected_run_id logs (chronology + AcquisitionTime); emit trial_type=movie_segment, stimulus_file=MovieXA.mp4, eye=L/R; coarse onset=0, duration=n_vols*TR or mp4 duration (design-level only)	Not reconstructible — no scene annotations in archive	main.m: run_id 1→Movie1A left; 2→Movie2A right; 3→Movie1B right; 4→Movie2B left | session selection logs=4; run_ids=1,2,3,4 | MP4s present under 3-Movie_Data but copyright-excluded from public stimuli/	Movie Results .mat lack triggerTimes/VBL/frame timestamps | Show_movie.m starts PlayMovie before KbQueueWait(t); no saved sync to scanner volumes | No scene cut list / annotations in scripts or logs
sub-007	ses-02	01		False	4	1,2,3,4	YES	MEDIUM	NO	LOW	NO	HIGH_NEGATIVE	Map BIDS task-movie runs to MATLAB selected_run_id logs (chronology + AcquisitionTime); emit trial_type=movie_segment, stimulus_file=MovieXA.mp4, eye=L/R; coarse onset=0, duration=n_vols*TR or mp4 duration (design-level only)	Not reconstructible — no scene annotations in archive	main.m: run_id 1→Movie1A left; 2→Movie2A right; 3→Movie1B right; 4→Movie2B left | session selection logs=4; run_ids=1,2,3,4 | MP4s present under 3-Movie_Data but copyright-excluded from public stimuli/	Movie Results .mat lack triggerTimes/VBL/frame timestamps | Show_movie.m starts PlayMovie before KbQueueWait(t); no saved sync to scanner volumes | No scene cut list / annotations in scripts or logs
sub-007	ses-02	07		False	4	1,2,3,4	YES	MEDIUM	NO	LOW	NO	HIGH_NEGATIVE	Map BIDS task-movie runs to MATLAB selected_run_id logs (chronology + AcquisitionTime); emit trial_type=movie_segment, stimulus_file=MovieXA.mp4, eye=L/R; coarse onset=0, duration=n_vols*TR or mp4 duration (design-level only)	Not reconstructible — no scene annotations in archive	main.m: run_id 1→Movie1A left; 2→Movie2A right; 3→Movie1B right; 4→Movie2B left | session selection logs=4; run_ids=1,2,3,4 | MP4s present under 3-Movie_Data but copyright-excluded from public stimuli/	Movie Results .mat lack triggerTimes/VBL/frame timestamps | Show_movie.m starts PlayMovie before KbQueueWait(t); no saved sync to scanner volumes | No scene cut list / annotations in scripts or logs
sub-007	ses-02	05		False	4	1,2,3,4	YES	MEDIUM	NO	LOW	NO	HIGH_NEGATIVE	Map BIDS task-movie runs to MATLAB selected_run_id logs (chronology + AcquisitionTime); emit trial_type=movie_segment, stimulus_file=MovieXA.mp4, eye=L/R; coarse onset=0, duration=n_vols*TR or mp4 duration (design-level only)	Not reconstructible — no scene annotations in archive	main.m: run_id 1→Movie1A left; 2→Movie2A right; 3→Movie1B right; 4→Movie2B left | session selection logs=4; run_ids=1,2,3,4 | MP4s present under 3-Movie_Data but copyright-excluded from public stimuli/	Movie Results .mat lack triggerTimes/VBL/frame timestamps | Show_movie.m starts PlayMovie before KbQueueWait(t); no saved sync to scanner volumes | No scene cut list / annotations in scripts or logs
sub-070	ses-01	07		False	0		UNCERTAIN	LOW	NO	LOW	NO	HIGH_NEGATIVE	Map BIDS task-movie runs to MATLAB selected_run_id logs (chronology + AcquisitionTime); emit trial_type=movie_segment, stimulus_file=MovieXA.mp4, eye=L/R; coarse onset=0, duration=n_vols*TR or mp4 duration (design-level only)	Not reconstructible — no scene annotations in archive	main.m: run_id 1→Movie1A left; 2→Movie2A right; 3→Movie1B right; 4→Movie2B left | session selection logs=0; run_ids=none | MP4s present under 3-Movie_Data but copyright-excluded from public stimuli/	Movie Results .mat lack triggerTimes/VBL/frame timestamps | Show_movie.m starts PlayMovie before KbQueueWait(t); no saved sync to scanner volumes | No scene cut list / annotations in scripts or logs | No movie selection .mat logs matched to this BIDS subject/session via inventory subject field
sub-070	ses-01	05		False	0		UNCERTAIN	LOW	NO	LOW	NO	HIGH_NEGATIVE	Map BIDS task-movie runs to MATLAB selected_run_id logs (chronology + AcquisitionTime); emit trial_type=movie_segment, stimulus_file=MovieXA.mp4, eye=L/R; coarse onset=0, duration=n_vols*TR or mp4 duration (design-level only)	Not reconstructible — no scene annotations in archive	main.m: run_id 1→Movie1A left; 2→Movie2A right; 3→Movie1B right; 4→Movie2B left | session selection logs=0; run_ids=none | MP4s present under 3-Movie_Data but copyright-excluded from public stimuli/	Movie Results .mat lack triggerTimes/VBL/frame timestamps | Show_movie.m starts PlayMovie before KbQueueWait(t); no saved sync to scanner volumes | No scene cut list / annotations in scripts or logs | No movie selection .mat logs matched to this BIDS subject/session via inventory subject field
sub-070	ses-01	03		False	0		UNCERTAIN	LOW	NO	LOW	NO	HIGH_NEGATIVE	Map BIDS task-movie runs to MATLAB selected_run_id logs (chronology + AcquisitionTime); emit trial_type=movie_segment, stimulus_file=MovieXA.mp4, eye=L/R; coarse onset=0, duration=n_vols*TR or mp4 duration (design-level only)	Not reconstructible — no scene annotations in archive	main.m: run_id 1→Movie1A left; 2→Movie2A right; 3→Movie1B right; 4→Movie2B left | session selection logs=0; run_ids=none | MP4s present under 3-Movie_Data but copyright-excluded from public stimuli/	Movie Results .mat lack triggerTimes/VBL/frame timestamps | Show_movie.m starts PlayMovie before KbQueueWait(t); no saved sync to scanner volumes | No scene cut list / annotations in scripts or logs | No movie selection .mat logs matched to this BIDS subject/session via inventory subject field
sub-070	ses-01	01		False	0		UNCERTAIN	LOW	NO	LOW	NO	HIGH_NEGATIVE	Map BIDS task-movie runs to MATLAB selected_run_id logs (chronology + AcquisitionTime); emit trial_type=movie_segment, stimulus_file=MovieXA.mp4, eye=L/R; coarse onset=0, duration=n_vols*TR or mp4 duration (design-level only)	Not reconstructible — no scene annotations in archive	main.m: run_id 1→Movie1A left; 2→Movie2A right; 3→Movie1B right; 4→Movie2B left | session selection logs=0; run_ids=none | MP4s present under 3-Movie_Data but copyright-excluded from public stimuli/	Movie Results .mat lack triggerTimes/VBL/frame timestamps | Show_movie.m starts PlayMovie before KbQueueWait(t); no saved sync to scanner volumes | No scene cut list / annotations in scripts or logs | No movie selection .mat logs matched to this BIDS subject/session via inventory subject field
sub-051	ses-01	03		False	4	1,2,3,4	YES	MEDIUM	NO	LOW	NO	HIGH_NEGATIVE	Map BIDS task-movie runs to MATLAB selected_run_id logs (chronology + AcquisitionTime); emit trial_type=movie_segment, stimulus_file=MovieXA.mp4, eye=L/R; coarse onset=0, duration=n_vols*TR or mp4 duration (design-level only)	Not reconstructible — no scene annotations in archive	main.m: run_id 1→Movie1A left; 2→Movie2A right; 3→Movie1B right; 4→Movie2B left | session selection logs=4; run_ids=1,2,3,4 | MP4s present under 3-Movie_Data but copyright-excluded from public stimuli/	Movie Results .mat lack triggerTimes/VBL/frame timestamps | Show_movie.m starts PlayMovie before KbQueueWait(t); no saved sync to scanner volumes | No scene cut list / annotations in scripts or logs
sub-051	ses-01	01		False	4	1,2,3,4	YES	MEDIUM	NO	LOW	NO	HIGH_NEGATIVE	Map BIDS task-movie runs to MATLAB selected_run_id logs (chronology + AcquisitionTime); emit trial_type=movie_segment, stimulus_file=MovieXA.mp4, eye=L/R; coarse onset=0, duration=n_vols*TR or mp4 duration (design-level only)	Not reconstructible — no scene annotations in archive	main.m: run_id 1→Movie1A left; 2→Movie2A right; 3→Movie1B right; 4→Movie2B left | session selection logs=4; run_ids=1,2,3,4 | MP4s present under 3-Movie_Data but copyright-excluded from public stimuli/	Movie Results .mat lack triggerTimes/VBL/frame timestamps | Show_movie.m starts PlayMovie before KbQueueWait(t); no saved sync to scanner volumes | No scene cut list / annotations in scripts or logs
sub-051	ses-01	07		False	4	1,2,3,4	YES	MEDIUM	NO	LOW	NO	HIGH_NEGATIVE	Map BIDS task-movie runs to MATLAB selected_run_id logs (chronology + AcquisitionTime); emit trial_type=movie_segment, stimulus_file=MovieXA.mp4, eye=L/R; coarse onset=0, duration=n_vols*TR or mp4 duration (design-level only)	Not reconstructible — no scene annotations in archive	main.m: run_id 1→Movie1A left; 2→Movie2A right; 3→Movie1B right; 4→Movie2B left | session selection logs=4; run_ids=1,2,3,4 | MP4s present under 3-Movie_Data but copyright-excluded from public stimuli/	Movie Results .mat lack triggerTimes/VBL/frame timestamps | Show_movie.m starts PlayMovie before KbQueueWait(t); no saved sync to scanner volumes | No scene cut list / annotations in scripts or logs
