subject	session	release_relative_path	replacement_file	audit_status	release_present	size_match_defaced	size_differs_from_original	hash_match_defaced	status	notes
sub-004	ses-02	sub-004/ses-02/anat/sub-004_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-004/ses-02/anat/sub-004_ses-02_run-01_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-004	ses-02	sub-004/ses-02/anat/sub-004_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-004/ses-02/anat/sub-004_ses-02_run-02_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-004	ses-02	sub-004/ses-02/anat/sub-004_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-004/ses-02/anat/sub-004_ses-02_run-03_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-005	ses-01	sub-005/ses-01/anat/sub-005_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-005/ses-01/anat/sub-005_ses-01_run-01_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-005	ses-01	sub-005/ses-01/anat/sub-005_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-005/ses-01/anat/sub-005_ses-01_run-02_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-005	ses-01	sub-005/ses-01/anat/sub-005_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-005/ses-01/anat/sub-005_ses-01_run-03_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-005	ses-02	sub-005/ses-02/anat/sub-005_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-005/ses-02/anat/sub-005_ses-02_run-01_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-005	ses-02	sub-005/ses-02/anat/sub-005_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-005/ses-02/anat/sub-005_ses-02_run-02_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-005	ses-02	sub-005/ses-02/anat/sub-005_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-005/ses-02/anat/sub-005_ses-02_run-03_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-006	ses-01	sub-006/ses-01/anat/sub-006_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-006/ses-01/anat/sub-006_ses-01_run-01_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-006	ses-01	sub-006/ses-01/anat/sub-006_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-006/ses-01/anat/sub-006_ses-01_run-02_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-006	ses-01	sub-006/ses-01/anat/sub-006_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-006/ses-01/anat/sub-006_ses-01_run-03_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-006	ses-02	sub-006/ses-02/anat/sub-006_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-006/ses-02/anat/sub-006_ses-02_run-01_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-006	ses-02	sub-006/ses-02/anat/sub-006_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-006/ses-02/anat/sub-006_ses-02_run-02_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-006	ses-02	sub-006/ses-02/anat/sub-006_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-006/ses-02/anat/sub-006_ses-02_run-03_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-007	ses-01	sub-007/ses-01/anat/sub-007_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-007/ses-01/anat/sub-007_ses-01_run-01_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-007	ses-01	sub-007/ses-01/anat/sub-007_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-007/ses-01/anat/sub-007_ses-01_run-02_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-007	ses-01	sub-007/ses-01/anat/sub-007_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-007/ses-01/anat/sub-007_ses-01_run-03_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-007	ses-02	sub-007/ses-02/anat/sub-007_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-007/ses-02/anat/sub-007_ses-02_run-01_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-007	ses-02	sub-007/ses-02/anat/sub-007_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-007/ses-02/anat/sub-007_ses-02_run-02_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-007	ses-02	sub-007/ses-02/anat/sub-007_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-007/ses-02/anat/sub-007_ses-02_run-03_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-008	ses-01	sub-008/ses-01/anat/sub-008_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-008/ses-01/anat/sub-008_ses-01_run-01_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-008	ses-01	sub-008/ses-01/anat/sub-008_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-008/ses-01/anat/sub-008_ses-01_run-02_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-008	ses-01	sub-008/ses-01/anat/sub-008_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-008/ses-01/anat/sub-008_ses-01_run-03_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-008	ses-02	sub-008/ses-02/anat/sub-008_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-008/ses-02/anat/sub-008_ses-02_run-01_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-008	ses-02	sub-008/ses-02/anat/sub-008_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-008/ses-02/anat/sub-008_ses-02_run-02_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-008	ses-02	sub-008/ses-02/anat/sub-008_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-008/ses-02/anat/sub-008_ses-02_run-03_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-009	ses-01	sub-009/ses-01/anat/sub-009_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-009/ses-01/anat/sub-009_ses-01_run-01_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-009	ses-01	sub-009/ses-01/anat/sub-009_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-009/ses-01/anat/sub-009_ses-01_run-02_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-009	ses-01	sub-009/ses-01/anat/sub-009_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-009/ses-01/anat/sub-009_ses-01_run-03_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-009	ses-02	sub-009/ses-02/anat/sub-009_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-009/ses-02/anat/sub-009_ses-02_run-01_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-009	ses-02	sub-009/ses-02/anat/sub-009_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-009/ses-02/anat/sub-009_ses-02_run-02_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-009	ses-02	sub-009/ses-02/anat/sub-009_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-009/ses-02/anat/sub-009_ses-02_run-03_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-010	ses-01	sub-010/ses-01/anat/sub-010_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-010/ses-01/anat/sub-010_ses-01_run-01_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-010	ses-01	sub-010/ses-01/anat/sub-010_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-010/ses-01/anat/sub-010_ses-01_run-02_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-010	ses-01	sub-010/ses-01/anat/sub-010_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-010/ses-01/anat/sub-010_ses-01_run-03_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-011	ses-01	sub-011/ses-01/anat/sub-011_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-011/ses-01/anat/sub-011_ses-01_run-01_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-011	ses-01	sub-011/ses-01/anat/sub-011_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-011/ses-01/anat/sub-011_ses-01_run-02_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-011	ses-01	sub-011/ses-01/anat/sub-011_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-011/ses-01/anat/sub-011_ses-01_run-03_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-011	ses-02	sub-011/ses-02/anat/sub-011_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-011/ses-02/anat/sub-011_ses-02_run-01_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-011	ses-02	sub-011/ses-02/anat/sub-011_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-011/ses-02/anat/sub-011_ses-02_run-02_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-011	ses-02	sub-011/ses-02/anat/sub-011_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-011/ses-02/anat/sub-011_ses-02_run-03_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-012	ses-01	sub-012/ses-01/anat/sub-012_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-012/ses-01/anat/sub-012_ses-01_run-01_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-012	ses-01	sub-012/ses-01/anat/sub-012_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-012/ses-01/anat/sub-012_ses-01_run-02_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-012	ses-01	sub-012/ses-01/anat/sub-012_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-012/ses-01/anat/sub-012_ses-01_run-03_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-012	ses-02	sub-012/ses-02/anat/sub-012_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-012/ses-02/anat/sub-012_ses-02_run-01_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-012	ses-02	sub-012/ses-02/anat/sub-012_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-012/ses-02/anat/sub-012_ses-02_run-02_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-012	ses-02	sub-012/ses-02/anat/sub-012_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-012/ses-02/anat/sub-012_ses-02_run-03_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-013	ses-01	sub-013/ses-01/anat/sub-013_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-013/ses-01/anat/sub-013_ses-01_run-01_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-013	ses-01	sub-013/ses-01/anat/sub-013_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-013/ses-01/anat/sub-013_ses-01_run-02_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-013	ses-01	sub-013/ses-01/anat/sub-013_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-013/ses-01/anat/sub-013_ses-01_run-03_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-014	ses-01	sub-014/ses-01/anat/sub-014_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-014/ses-01/anat/sub-014_ses-01_run-01_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-014	ses-01	sub-014/ses-01/anat/sub-014_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-014/ses-01/anat/sub-014_ses-01_run-02_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-014	ses-01	sub-014/ses-01/anat/sub-014_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-014/ses-01/anat/sub-014_ses-01_run-03_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-015	ses-01	sub-015/ses-01/anat/sub-015_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-015/ses-01/anat/sub-015_ses-01_run-01_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-015	ses-01	sub-015/ses-01/anat/sub-015_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-015/ses-01/anat/sub-015_ses-01_run-02_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-015	ses-01	sub-015/ses-01/anat/sub-015_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-015/ses-01/anat/sub-015_ses-01_run-03_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-015	ses-02	sub-015/ses-02/anat/sub-015_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-015/ses-02/anat/sub-015_ses-02_run-01_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-015	ses-02	sub-015/ses-02/anat/sub-015_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-015/ses-02/anat/sub-015_ses-02_run-02_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-015	ses-02	sub-015/ses-02/anat/sub-015_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-015/ses-02/anat/sub-015_ses-02_run-03_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-016	ses-01	sub-016/ses-01/anat/sub-016_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-016/ses-01/anat/sub-016_ses-01_run-01_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-016	ses-01	sub-016/ses-01/anat/sub-016_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-016/ses-01/anat/sub-016_ses-01_run-02_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-016	ses-01	sub-016/ses-01/anat/sub-016_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-016/ses-01/anat/sub-016_ses-01_run-03_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-016	ses-02	sub-016/ses-02/anat/sub-016_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-016/ses-02/anat/sub-016_ses-02_run-01_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-016	ses-02	sub-016/ses-02/anat/sub-016_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-016/ses-02/anat/sub-016_ses-02_run-02_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-016	ses-02	sub-016/ses-02/anat/sub-016_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-016/ses-02/anat/sub-016_ses-02_run-03_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-017	ses-01	sub-017/ses-01/anat/sub-017_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-017/ses-01/anat/sub-017_ses-01_run-01_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-017	ses-01	sub-017/ses-01/anat/sub-017_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-017/ses-01/anat/sub-017_ses-01_run-02_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-017	ses-01	sub-017/ses-01/anat/sub-017_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-017/ses-01/anat/sub-017_ses-01_run-03_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-017	ses-02	sub-017/ses-02/anat/sub-017_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-017/ses-02/anat/sub-017_ses-02_run-01_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-017	ses-02	sub-017/ses-02/anat/sub-017_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-017/ses-02/anat/sub-017_ses-02_run-02_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-017	ses-02	sub-017/ses-02/anat/sub-017_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-017/ses-02/anat/sub-017_ses-02_run-03_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-018	ses-01	sub-018/ses-01/anat/sub-018_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-018/ses-01/anat/sub-018_ses-01_run-01_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-018	ses-01	sub-018/ses-01/anat/sub-018_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-018/ses-01/anat/sub-018_ses-01_run-02_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-019	ses-01	sub-019/ses-01/anat/sub-019_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-019/ses-01/anat/sub-019_ses-01_run-01_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-019	ses-01	sub-019/ses-01/anat/sub-019_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-019/ses-01/anat/sub-019_ses-01_run-02_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-019	ses-01	sub-019/ses-01/anat/sub-019_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-019/ses-01/anat/sub-019_ses-01_run-03_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-019	ses-02	sub-019/ses-02/anat/sub-019_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-019/ses-02/anat/sub-019_ses-02_run-01_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-019	ses-02	sub-019/ses-02/anat/sub-019_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-019/ses-02/anat/sub-019_ses-02_run-02_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-019	ses-02	sub-019/ses-02/anat/sub-019_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-019/ses-02/anat/sub-019_ses-02_run-03_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-020	ses-01	sub-020/ses-01/anat/sub-020_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-020/ses-01/anat/sub-020_ses-01_run-01_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-020	ses-01	sub-020/ses-01/anat/sub-020_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-020/ses-01/anat/sub-020_ses-01_run-02_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-020	ses-01	sub-020/ses-01/anat/sub-020_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-020/ses-01/anat/sub-020_ses-01_run-03_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-021	ses-01	sub-021/ses-01/anat/sub-021_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-021/ses-01/anat/sub-021_ses-01_run-01_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-021	ses-01	sub-021/ses-01/anat/sub-021_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-021/ses-01/anat/sub-021_ses-01_run-02_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
