image_identifier	subject	session	run	filename	image_path	model_estimated_artifact_probability	model_confidence	model_uncertainty	n_mc_runs	n_artifact_votes	model	inference_date
sub-006_ses-01_run-03_T1w.nii.gz	sub-006	ses-01	03	sub-006_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-006/ses-01/anat/sub-006_ses-01_run-03_T1w.nii.gz	40.0	60.0	0.970951	10	4	Pizarro2023-FINAL	2026-07-22
sub-006_ses-02_run-01_T1w.nii.gz	sub-006	ses-02	01	sub-006_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-006/ses-02/anat/sub-006_ses-02_run-01_T1w.nii.gz	100.0	100.0	0.0	10	10	Pizarro2023-FINAL	2026-07-22
sub-006_ses-02_run-02_T1w.nii.gz	sub-006	ses-02	02	sub-006_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-006/ses-02/anat/sub-006_ses-02_run-02_T1w.nii.gz	80.0	80.0	0.721928	10	8	Pizarro2023-FINAL	2026-07-22
sub-006_ses-02_run-03_T1w.nii.gz	sub-006	ses-02	03	sub-006_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-006/ses-02/anat/sub-006_ses-02_run-03_T1w.nii.gz	100.0	100.0	0.0	10	10	Pizarro2023-FINAL	2026-07-22
sub-007_ses-01_run-01_T1w.nii.gz	sub-007	ses-01	01	sub-007_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-007/ses-01/anat/sub-007_ses-01_run-01_T1w.nii.gz	80.0	80.0	0.721928	10	8	Pizarro2023-FINAL	2026-07-22
sub-007_ses-01_run-02_T1w.nii.gz	sub-007	ses-01	02	sub-007_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-007/ses-01/anat/sub-007_ses-01_run-02_T1w.nii.gz	50.0	50.0	1.0	10	5	Pizarro2023-FINAL	2026-07-22
sub-007_ses-01_run-03_T1w.nii.gz	sub-007	ses-01	03	sub-007_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-007/ses-01/anat/sub-007_ses-01_run-03_T1w.nii.gz	100.0	100.0	0.0	10	10	Pizarro2023-FINAL	2026-07-22
sub-007_ses-02_run-01_T1w.nii.gz	sub-007	ses-02	01	sub-007_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-007/ses-02/anat/sub-007_ses-02_run-01_T1w.nii.gz	10.0	90.0	0.468996	10	1	Pizarro2023-FINAL	2026-07-22
sub-007_ses-02_run-02_T1w.nii.gz	sub-007	ses-02	02	sub-007_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-007/ses-02/anat/sub-007_ses-02_run-02_T1w.nii.gz	10.0	90.0	0.468996	10	1	Pizarro2023-FINAL	2026-07-22
sub-007_ses-02_run-03_T1w.nii.gz	sub-007	ses-02	03	sub-007_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-007/ses-02/anat/sub-007_ses-02_run-03_T1w.nii.gz	60.0	60.0	0.970951	10	6	Pizarro2023-FINAL	2026-07-22
sub-008_ses-01_run-01_T1w.nii.gz	sub-008	ses-01	01	sub-008_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-008/ses-01/anat/sub-008_ses-01_run-01_T1w.nii.gz	20.0	80.0	0.721928	10	2	Pizarro2023-FINAL	2026-07-22
sub-008_ses-01_run-02_T1w.nii.gz	sub-008	ses-01	02	sub-008_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-008/ses-01/anat/sub-008_ses-01_run-02_T1w.nii.gz	50.0	50.0	1.0	10	5	Pizarro2023-FINAL	2026-07-22
sub-008_ses-01_run-03_T1w.nii.gz	sub-008	ses-01	03	sub-008_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-008/ses-01/anat/sub-008_ses-01_run-03_T1w.nii.gz	100.0	100.0	0.0	10	10	Pizarro2023-FINAL	2026-07-22
sub-008_ses-02_run-01_T1w.nii.gz	sub-008	ses-02	01	sub-008_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-008/ses-02/anat/sub-008_ses-02_run-01_T1w.nii.gz	40.0	60.0	0.970951	10	4	Pizarro2023-FINAL	2026-07-22
sub-008_ses-02_run-02_T1w.nii.gz	sub-008	ses-02	02	sub-008_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-008/ses-02/anat/sub-008_ses-02_run-02_T1w.nii.gz	10.0	90.0	0.468996	10	1	Pizarro2023-FINAL	2026-07-22
sub-008_ses-02_run-03_T1w.nii.gz	sub-008	ses-02	03	sub-008_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-008/ses-02/anat/sub-008_ses-02_run-03_T1w.nii.gz	100.0	100.0	0.0	10	10	Pizarro2023-FINAL	2026-07-22
sub-009_ses-01_run-01_T1w.nii.gz	sub-009	ses-01	01	sub-009_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-009/ses-01/anat/sub-009_ses-01_run-01_T1w.nii.gz	40.0	60.0	0.970951	10	4	Pizarro2023-FINAL	2026-07-22
sub-009_ses-01_run-02_T1w.nii.gz	sub-009	ses-01	02	sub-009_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-009/ses-01/anat/sub-009_ses-01_run-02_T1w.nii.gz	20.0	80.0	0.721928	10	2	Pizarro2023-FINAL	2026-07-22
sub-009_ses-01_run-03_T1w.nii.gz	sub-009	ses-01	03	sub-009_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-009/ses-01/anat/sub-009_ses-01_run-03_T1w.nii.gz	50.0	50.0	1.0	10	5	Pizarro2023-FINAL	2026-07-22
sub-009_ses-02_run-01_T1w.nii.gz	sub-009	ses-02	01	sub-009_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-009/ses-02/anat/sub-009_ses-02_run-01_T1w.nii.gz	10.0	90.0	0.468996	10	1	Pizarro2023-FINAL	2026-07-22
sub-009_ses-02_run-02_T1w.nii.gz	sub-009	ses-02	02	sub-009_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-009/ses-02/anat/sub-009_ses-02_run-02_T1w.nii.gz	0.0	100.0	0.0	10	0	Pizarro2023-FINAL	2026-07-22
sub-009_ses-02_run-03_T1w.nii.gz	sub-009	ses-02	03	sub-009_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-009/ses-02/anat/sub-009_ses-02_run-03_T1w.nii.gz	90.0	90.0	0.468996	10	9	Pizarro2023-FINAL	2026-07-22
sub-010_ses-01_run-01_T1w.nii.gz	sub-010	ses-01	01	sub-010_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-010/ses-01/anat/sub-010_ses-01_run-01_T1w.nii.gz	100.0	100.0	0.0	10	10	Pizarro2023-FINAL	2026-07-22
sub-010_ses-01_run-02_T1w.nii.gz	sub-010	ses-01	02	sub-010_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-010/ses-01/anat/sub-010_ses-01_run-02_T1w.nii.gz	90.0	90.0	0.468996	10	9	Pizarro2023-FINAL	2026-07-22
sub-010_ses-01_run-03_T1w.nii.gz	sub-010	ses-01	03	sub-010_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-010/ses-01/anat/sub-010_ses-01_run-03_T1w.nii.gz	100.0	100.0	0.0	10	10	Pizarro2023-FINAL	2026-07-22
sub-011_ses-01_run-01_T1w.nii.gz	sub-011	ses-01	01	sub-011_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-011/ses-01/anat/sub-011_ses-01_run-01_T1w.nii.gz	90.0	90.0	0.468996	10	9	Pizarro2023-FINAL	2026-07-22
sub-011_ses-01_run-02_T1w.nii.gz	sub-011	ses-01	02	sub-011_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-011/ses-01/anat/sub-011_ses-01_run-02_T1w.nii.gz	10.0	90.0	0.468996	10	1	Pizarro2023-FINAL	2026-07-22
sub-011_ses-01_run-03_T1w.nii.gz	sub-011	ses-01	03	sub-011_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-011/ses-01/anat/sub-011_ses-01_run-03_T1w.nii.gz	100.0	100.0	0.0	10	10	Pizarro2023-FINAL	2026-07-22
sub-011_ses-02_run-01_T1w.nii.gz	sub-011	ses-02	01	sub-011_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-011/ses-02/anat/sub-011_ses-02_run-01_T1w.nii.gz	70.0	70.0	0.881291	10	7	Pizarro2023-FINAL	2026-07-22
sub-011_ses-02_run-02_T1w.nii.gz	sub-011	ses-02	02	sub-011_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-011/ses-02/anat/sub-011_ses-02_run-02_T1w.nii.gz	40.0	60.0	0.970951	10	4	Pizarro2023-FINAL	2026-07-22
sub-011_ses-02_run-03_T1w.nii.gz	sub-011	ses-02	03	sub-011_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-011/ses-02/anat/sub-011_ses-02_run-03_T1w.nii.gz	100.0	100.0	0.0	10	10	Pizarro2023-FINAL	2026-07-22
sub-012_ses-01_run-01_T1w.nii.gz	sub-012	ses-01	01	sub-012_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-012/ses-01/anat/sub-012_ses-01_run-01_T1w.nii.gz	100.0	100.0	0.0	10	10	Pizarro2023-FINAL	2026-07-22
sub-012_ses-01_run-02_T1w.nii.gz	sub-012	ses-01	02	sub-012_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-012/ses-01/anat/sub-012_ses-01_run-02_T1w.nii.gz	70.0	70.0	0.881291	10	7	Pizarro2023-FINAL	2026-07-22
sub-012_ses-01_run-03_T1w.nii.gz	sub-012	ses-01	03	sub-012_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-012/ses-01/anat/sub-012_ses-01_run-03_T1w.nii.gz	100.0	100.0	0.0	10	10	Pizarro2023-FINAL	2026-07-22
sub-012_ses-02_run-01_T1w.nii.gz	sub-012	ses-02	01	sub-012_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-012/ses-02/anat/sub-012_ses-02_run-01_T1w.nii.gz	80.0	80.0	0.721928	10	8	Pizarro2023-FINAL	2026-07-22
sub-012_ses-02_run-02_T1w.nii.gz	sub-012	ses-02	02	sub-012_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-012/ses-02/anat/sub-012_ses-02_run-02_T1w.nii.gz	50.0	50.0	1.0	10	5	Pizarro2023-FINAL	2026-07-22
sub-012_ses-02_run-03_T1w.nii.gz	sub-012	ses-02	03	sub-012_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-012/ses-02/anat/sub-012_ses-02_run-03_T1w.nii.gz	100.0	100.0	0.0	10	10	Pizarro2023-FINAL	2026-07-22
sub-013_ses-01_run-01_T1w.nii.gz	sub-013	ses-01	01	sub-013_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-013/ses-01/anat/sub-013_ses-01_run-01_T1w.nii.gz	90.0	90.0	0.468996	10	9	Pizarro2023-FINAL	2026-07-22
sub-013_ses-01_run-02_T1w.nii.gz	sub-013	ses-01	02	sub-013_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-013/ses-01/anat/sub-013_ses-01_run-02_T1w.nii.gz	70.0	70.0	0.881291	10	7	Pizarro2023-FINAL	2026-07-22
sub-013_ses-01_run-03_T1w.nii.gz	sub-013	ses-01	03	sub-013_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-013/ses-01/anat/sub-013_ses-01_run-03_T1w.nii.gz	100.0	100.0	0.0	10	10	Pizarro2023-FINAL	2026-07-22
sub-014_ses-01_run-01_T1w.nii.gz	sub-014	ses-01	01	sub-014_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-014/ses-01/anat/sub-014_ses-01_run-01_T1w.nii.gz	60.0	60.0	0.970951	10	6	Pizarro2023-FINAL	2026-07-22
sub-014_ses-01_run-02_T1w.nii.gz	sub-014	ses-01	02	sub-014_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-014/ses-01/anat/sub-014_ses-01_run-02_T1w.nii.gz	100.0	100.0	0.0	10	10	Pizarro2023-FINAL	2026-07-22
sub-014_ses-01_run-03_T1w.nii.gz	sub-014	ses-01	03	sub-014_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-014/ses-01/anat/sub-014_ses-01_run-03_T1w.nii.gz	100.0	100.0	0.0	10	10	Pizarro2023-FINAL	2026-07-22
sub-015_ses-01_run-01_T1w.nii.gz	sub-015	ses-01	01	sub-015_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-015/ses-01/anat/sub-015_ses-01_run-01_T1w.nii.gz	100.0	100.0	0.0	10	10	Pizarro2023-FINAL	2026-07-22
sub-015_ses-01_run-02_T1w.nii.gz	sub-015	ses-01	02	sub-015_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-015/ses-01/anat/sub-015_ses-01_run-02_T1w.nii.gz	100.0	100.0	0.0	10	10	Pizarro2023-FINAL	2026-07-22
sub-015_ses-01_run-03_T1w.nii.gz	sub-015	ses-01	03	sub-015_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-015/ses-01/anat/sub-015_ses-01_run-03_T1w.nii.gz	100.0	100.0	0.0	10	10	Pizarro2023-FINAL	2026-07-22
sub-015_ses-02_run-01_T1w.nii.gz	sub-015	ses-02	01	sub-015_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-015/ses-02/anat/sub-015_ses-02_run-01_T1w.nii.gz	40.0	60.0	0.970951	10	4	Pizarro2023-FINAL	2026-07-22
sub-015_ses-02_run-02_T1w.nii.gz	sub-015	ses-02	02	sub-015_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-015/ses-02/anat/sub-015_ses-02_run-02_T1w.nii.gz	0.0	100.0	0.0	10	0	Pizarro2023-FINAL	2026-07-22
sub-015_ses-02_run-03_T1w.nii.gz	sub-015	ses-02	03	sub-015_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-015/ses-02/anat/sub-015_ses-02_run-03_T1w.nii.gz	100.0	100.0	0.0	10	10	Pizarro2023-FINAL	2026-07-22
sub-016_ses-01_run-01_T1w.nii.gz	sub-016	ses-01	01	sub-016_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-016/ses-01/anat/sub-016_ses-01_run-01_T1w.nii.gz	10.0	90.0	0.468996	10	1	Pizarro2023-FINAL	2026-07-22
sub-016_ses-01_run-02_T1w.nii.gz	sub-016	ses-01	02	sub-016_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-016/ses-01/anat/sub-016_ses-01_run-02_T1w.nii.gz	20.0	80.0	0.721928	10	2	Pizarro2023-FINAL	2026-07-22
sub-016_ses-01_run-03_T1w.nii.gz	sub-016	ses-01	03	sub-016_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-016/ses-01/anat/sub-016_ses-01_run-03_T1w.nii.gz	70.0	70.0	0.881291	10	7	Pizarro2023-FINAL	2026-07-22
sub-016_ses-02_run-01_T1w.nii.gz	sub-016	ses-02	01	sub-016_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-016/ses-02/anat/sub-016_ses-02_run-01_T1w.nii.gz	80.0	80.0	0.721928	10	8	Pizarro2023-FINAL	2026-07-22
sub-016_ses-02_run-02_T1w.nii.gz	sub-016	ses-02	02	sub-016_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-016/ses-02/anat/sub-016_ses-02_run-02_T1w.nii.gz	20.0	80.0	0.721928	10	2	Pizarro2023-FINAL	2026-07-22
sub-016_ses-02_run-03_T1w.nii.gz	sub-016	ses-02	03	sub-016_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-016/ses-02/anat/sub-016_ses-02_run-03_T1w.nii.gz	80.0	80.0	0.721928	10	8	Pizarro2023-FINAL	2026-07-22
sub-017_ses-01_run-01_T1w.nii.gz	sub-017	ses-01	01	sub-017_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-017/ses-01/anat/sub-017_ses-01_run-01_T1w.nii.gz	60.0	60.0	0.970951	10	6	Pizarro2023-FINAL	2026-07-22
sub-017_ses-01_run-02_T1w.nii.gz	sub-017	ses-01	02	sub-017_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-017/ses-01/anat/sub-017_ses-01_run-02_T1w.nii.gz	50.0	50.0	1.0	10	5	Pizarro2023-FINAL	2026-07-22
sub-017_ses-01_run-03_T1w.nii.gz	sub-017	ses-01	03	sub-017_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-017/ses-01/anat/sub-017_ses-01_run-03_T1w.nii.gz	100.0	100.0	0.0	10	10	Pizarro2023-FINAL	2026-07-22
sub-017_ses-02_run-01_T1w.nii.gz	sub-017	ses-02	01	sub-017_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-017/ses-02/anat/sub-017_ses-02_run-01_T1w.nii.gz	100.0	100.0	0.0	10	10	Pizarro2023-FINAL	2026-07-22
