subject	session	T1w	FLAIR	REST	MOVIE1	MOVIE2	MOVIE3	MOVIE4	TASK1	TASK2	TASK3	TASK4	DWI	FIELDMAP	PHYSIO_AVAILABLE	EYETRACK_AVAILABLE
sub-011	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-012	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-012	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-013	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-014	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-015	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-015	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-016	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-016	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-017	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-017	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-018	ses-01	PRESENT	MISSING	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-019	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING
sub-019	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING
sub-020	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-021	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-021	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING
sub-022	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-022	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-023	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-023	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-024	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-024	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-025	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-025	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-026	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-026	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-027	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-027	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-028	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-028	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-029	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-029	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-030	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-030	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-031	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-031	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-032	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-033	ses-01	PRESENT	MISSING	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-034	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-034	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING
sub-035	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-035	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-036	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-036	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-037	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-038	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-038	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING
sub-039	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-039	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-040	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-040	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-041	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-041	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-042	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-043	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING
sub-044	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-044	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-045	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-046	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-046	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING
sub-047	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-047	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-048	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-048	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-049	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-049	ses-02	MISSING	MISSING	MISSING	PRESENT	PRESENT	PRESENT	MISSING	PRESENT	PRESENT	PRESENT	PRESENT	MISSING	PRESENT	PRESENT	PRESENT
sub-050	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-051	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-052	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING
sub-052	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING
sub-053	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-054	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-054	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING	PRESENT
sub-055	ses-01	MISSING	MISSING	MISSING	PRESENT	PRESENT	PRESENT	MISSING	PRESENT	PRESENT	PRESENT	PRESENT	MISSING	PRESENT	PRESENT	PRESENT
sub-056	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING	PRESENT
sub-057	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-057	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING
sub-058	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING
sub-059	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING
sub-060	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING
sub-061	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING	MISSING
sub-062	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING	MISSING
sub-063	ses-01	PRESENT	PRESENT	PRESENT	MISSING	MISSING	MISSING	MISSING	MISSING	PRESENT	PRESENT	MISSING	PRESENT	PRESENT	MISSING	MISSING
sub-064	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING
sub-064	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING
sub-065	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING
sub-066	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING
sub-066	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING
sub-067	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING
sub-067	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING
sub-068	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING
sub-068	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING
sub-069	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING
sub-069	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING
sub-070	ses-01	PRESENT	MISSING	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING	PRESENT	PRESENT	MISSING
sub-071	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING
sub-072	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING
sub-072	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING
sub-073	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING
sub-073	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING
sub-074	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING
sub-074	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING
sub-075	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING
sub-076	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING
sub-077	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING
sub-078	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING
sub-078	ses-02	MISSING	MISSING	MISSING	PRESENT	MISSING	MISSING	MISSING	PRESENT	PRESENT	PRESENT	PRESENT	MISSING	PRESENT	PRESENT	MISSING
sub-079	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING
sub-080	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING
sub-081	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING
sub-081	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING	MISSING
sub-082	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING
sub-083	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING
sub-084	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING
